GAME_ID,TEAM_ID,PLAYER_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,MIN
22400451,1610612759,1631104,1,1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,4,8.55
22400451,1610612759,1630572,2,3,0.667,0,1,0,0,0,0,0,4,4,1,0,1,0,1,4,2,7.866666667
22400451,1610612759,1631103,2,4,0.5,1,3,0.333,0,0,0,0,1,1,0,0,0,0,1,5,0,7.366666667
22400451,1610612759,1631321,1,2,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5.583333333
22400451,1610612759,1629646,1,3,0.333,0,0,0,0,0,0,1,2,3,2,0,0,1,1,2,0,5.583333333
22400789,1610612738,1627759,7,13,0.538,2,6,0.333,4,4,1,3,3,6,6,0,0,3,1,20,6,26.933333333
22400789,1610612738,1628369,5,13,0.385,2,7,0.286,3,3,1,0,11,11,10,1,0,3,1,15,19,34.533333333
22400789,1610612738,204001,5,11,0.455,3,6,0.5,4,5,0.8,1,3,4,1,1,1,2,5,17,14,25.366666667
22400789,1610612738,1628401,5,10,0.5,3,7,0.429,3,3,1,0,10,10,2,0,0,1,1,16,14,25.95
22400789,1610612738,201950,3,6,0.5,2,3,0.667,0,0,0,0,1,1,2,0,0,0,3,8,8,19.733333333
22400789,1610612738,201143,4,7,0.571,3,5,0.6,0,0,0,1,3,4,1,0,0,0,2,11,20,18.283333333
22400789,1610612738,1630202,10,18,0.556,8,15,0.533,0,0,0,0,0,0,4,0,0,1,0,28,8,31.383333333
22400789,1610612738,1630573,1,6,0.167,1,5,0.2,0,0,0,1,1,2,2,0,0,0,1,3,14,21.4
22400789,1610612738,1628436,3,4,0.75,0,0,0,0,0,0,4,3,7,4,1,2,0,1,6,12,17.4
22400789,1610612738,1628470,0,0,0,0,0,0,0,0,0,1,1,2,1,0,3,0,0,0,-1,8.766666667
22400789,1610612738,1641775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,4.833333333
22400789,1610612738,1629674,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,-6,4.833333333
22400789,1610612738,1631248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0.5833333333
22400789,1610612755,1626162,6,14,0.429,1,6,0.167,3,3,1,1,3,4,0,3,0,3,5,16,-15,34.85
22400789,1610612755,202331,7,14,0.5,3,9,0.333,0,0,0,0,2,2,2,1,0,1,1,17,-24,29.266666667
22400789,1610612755,203954,3,9,0.333,0,2,0,9,9,1,1,2,3,4,0,0,2,2,15,-20,27.033333333
22400789,1610612755,1629656,5,12,0.417,1,5,0.2,1,1,1,0,7,7,3,0,0,2,3,12,-16,33.1
22400789,1610612755,1630178,6,10,0.6,1,4,0.25,3,3,1,0,5,5,7,1,0,0,2,16,-25,34.35
22400789,1610612755,1627824,2,6,0.333,0,1,0,0,0,0,3,5,8,0,1,0,0,3,4,-4,24.633333333
22400789,1610612755,1641741,4,10,0.4,2,5,0.4,0,0,0,1,0,1,2,0,0,1,0,10,-4,21.533333333
22400789,1610612755,203083,4,6,0.667,0,0,0,0,1,0,3,4,7,1,0,0,1,0,8,-5,12.883333333
22400789,1610612755,1630215,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,3.45
22400789,1610612755,1631223,2,7,0.286,0,4,0,0,0,0,0,5,5,2,0,0,0,1,4,6,13.483333333
22400789,1610612755,1630288,1,1,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,2,6,4.833333333
22400789,1610612755,1641737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5833333333
22400014,1610612751,1627732,2,5,0.4,0,0,0,0,0,0,1,6,7,5,1,0,0,1,4,0,24.716666667
22400014,1610612751,1629661,3,10,0.3,1,5,0.2,10,10,1,2,3,5,3,2,0,0,1,17,4,36.266666667
