GAME_ID,TEAM_ID,PLAYER_ID,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,MIN
42400156,1610612745,1641708,0.217,0.185,0.228,0,0.048,0.143,0.146,0,0.25,0.206,0.105,0.25,0.3,0,0.75,0.133,0.174,0.152,35.533333333
42400156,1610612745,1628415,0.174,0.067,0.161,0,0.25,0.111,0.167,0.5,0,0.067,0.167,0.25,0.2,0,0,0.444,0.143,0.07,18.55
42400156,1610612745,1630578,0.297,0.32,0.333,0,0.095,0.208,0.219,0.375,0.407,0.4,0.353,0.2,0.333,0,0,0.25,0.217,0.256,37.1
42400156,1610612745,1630224,0.186,0.125,0.212,0.143,0.333,0.217,0.188,0.167,0.148,0.152,0.176,0.111,0,0.25,0.5,0.091,0.182,0.154,32.05
42400156,1610612745,1627832,0.201,0.226,0.2,0.545,0.391,0.29,0.214,0.1,0.241,0.205,0.4,0.182,0,0,0,0.188,0.259,0.279,39.883333333
42400156,1610612745,203500,0.163,0.174,0.082,0,0,0.36,0.444,0.333,0.083,0.152,0,0,0.125,0.75,0,0.077,0.375,0.215,31.05
42400156,1610612745,1631106,0.105,0.25,0.143,0.4,0.214,0,0,0,0.154,0.111,0.143,0,0.571,1,0.25,0.25,0,0.205,16.1
42400156,1610612745,1631095,0.135,0.2,0.125,0.333,0.231,0,0,0.125,0.154,0.143,0.143,0.4,0,0,0,0.2,0,0.163,18.633333333
42400156,1610612745,1628988,0.184,0.333,0.25,1,0.333,0,0,1,0,0.5,0,0,0,0,0,1,0,0.333,5.566666667
42400156,1610612745,1641715,0.333,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.533333333
42400156,1610612745,201145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.533333333
42400156,1610612745,1631466,0.333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.233333333
42400156,1610612745,1642263,0.333,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.233333333
42400156,1610612745,1629111,0,,,,,,,,,,,,,,,,,,0
42400156,1610612745,1630256,0,,,,,,,,,,,,,,,,,,0
42400156,1610612744,1627780,0.135,0.143,0.139,0.167,0.211,0,0,0,0.375,0.214,0.1,0.2,0.5,0,0,0.25,0,0.125,19.766666667
42400156,1610612744,202710,0.222,0.226,0.213,0.071,0.133,0.667,0.636,0.167,0.292,0.25,0.348,0.071,0,0.2,0.4,0.077,0.444,0.287,42.116666667
42400156,1610612744,203110,0.143,0.12,0.114,0.091,0.095,0.071,0.111,0.167,0.125,0.139,0.389,0.308,0,0.6,0.2,0.143,0.071,0.107,36.95
42400156,1610612744,1627741,0.116,0,0.118,0,0.174,0,0,0.333,0.077,0.158,0,0.167,0,0,0,0.364,0,0,16.533333333
42400156,1610612744,201939,0.296,0.31,0.295,0.429,0.348,0.313,0.316,0.091,0.24,0.194,0.095,0.333,0.4,0.167,0,0.16,0.375,0.33,41.95
42400156,1610612744,1641764,0.146,0.19,0.158,0.2,0.182,0,0,0.375,0.222,0.269,0.188,0.182,0.333,0,0.25,0.167,0.231,0.154,28.75
42400156,1610612744,1642366,0.157,0.154,0.2,0.167,0.235,0,0,0.333,0,0.111,0.182,0,0.5,0,0,0.455,0,0.135,17.8
42400156,1610612744,1630541,0.273,0.357,0.351,0.5,0.278,0,0,0.167,0.091,0.118,0.077,0.111,0,0.333,1,0.154,0,0.295,22.116666667
42400156,1610612744,1626172,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.667,0,0,2
42400156,1610612744,1630296,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,2.433333333
42400156,1610612744,1630611,0.167,0.2,0.2,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.2,2.4
42400156,1610612744,1630311,0.5,0.6,0.6,0,0,0,0,0,0.333,0.333,0.5,0,0,0,0,0.5,0,0.6,2.4
42400156,1610612744,1631218,0.167,0.2,0.2,0,0,0,0,0,0.667,0.667,0,0,0,0,0,0,0,0.2,2.4
42400156,1610612744,1628995,0.167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.4
42400156,1610612744,1630228,0,,,,,,,,,,,,,,,,,,0
22400451,1610612746,1626181,0.258,0.25,0.279,0.429,0.435,0.364,0.286,0,0.294,0.227,0.25,0.111,0.667,0,0,0,0.333,0.3,26.333333333
22400451,1610612746,1627884,0.155,0.2,0.161,0.2,0.176,0.091,0.143,0.25,0.071,0.111,0,0.125,0,0,0,0.167,0.111,0.167,21.133333333
22400451,1610612746,1627826,0.187,0.182,0.212,0,0,0.091,0.143,0.5,0.333,0.368,0.5,0.111,0,0,1,0.333,0.222,0.135,22.166666667
22400451,1610612746,1627739,0.142,0.231,0.171,0.2,0.176,0,0,0,0.143,0.111,0.2,0.125,0.333,0,0,0.333,0,0.167,22.6
22400451,1610612746,201935,0.344,0.417,0.282,0.333,0.286,0.455,0.429,0.2,0.125,0.143,0.2,0.5,0.5,1,0,0.1,0.3,0.415,25.466666667
22400451,1610612746,1629599,0.182,0.273,0.207,0.286,0.16,0,0,0,0.118,0.087,0,0,0.167,0,0.4,0.1,0,0.255,28.2
22400451,1610612746,201587,0.069,0,0.04,0,0.083,0,0,0.5,0.25,0.3,0,0.25,0,0,0,0.333,0,0,12.716666667
