GAME_ID,TEAM_ID,PLAYER_ID,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_ASSIST_POINTS,LOOSEBALLS_RECOVERED_OFFENSIVE,LOOSEBALLS_RECOVERED_DEFENSIVE,LOOSEBALLS_RECOVERED_TOTAL,OFFENSIVE_BOXOUTS,DEFENSIVE_BOXOUTS,BOXOUT_PLAYER_TEAM_REBOUNDS,BOXOUT_PLAYER_REBOUNDS,BOXOUTS,MIN
42400156,1610612745,1641708,14,2,0,2,3,0,0,0,0,0,0,0,1,1,0,1,35.533333333
42400156,1610612745,1628415,3,4,1,3,1,0,0,0,1,0,1,0,2,2,0,2,18.55
42400156,1610612745,1630578,21,8,4,4,4,0,1,3,0,0,0,2,1,3,3,3,37.1
42400156,1610612745,1630224,12,6,2,4,0,0,0,0,0,0,0,0,1,1,1,1,32.05
42400156,1610612745,1627832,29,3,0,3,1,0,0,0,1,1,2,0,2,2,0,2,39.883333333
42400156,1610612745,203500,17,12,7,5,2,0,2,5,0,0,0,3,6,9,3,9,31.05
42400156,1610612745,1631106,8,1,1,0,4,0,0,0,0,1,1,0,1,1,0,1,16.1
42400156,1610612745,1631095,8,4,1,3,1,0,0,0,0,0,0,0,3,3,1,3,18.633333333
42400156,1610612745,1641715,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.533333333
42400156,1610612745,201145,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1.533333333
42400156,1610612744,1627780,5,1,0,1,2,0,2,5,1,0,1,0,0,0,0,0,19.766666667
42400156,1610612744,202710,27,6,3,3,2,0,0,0,0,0,0,2,3,5,3,5,42.116666667
42400156,1610612744,203110,8,16,12,4,3,0,1,3,0,0,0,0,4,4,1,4,36.95
42400156,1610612744,1627741,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,16.533333333
42400156,1610612744,201939,29,3,1,2,5,0,0,0,2,0,2,0,1,1,1,1,41.95
42400156,1610612744,1641764,10,2,0,2,3,0,1,3,0,0,0,0,1,1,1,1,28.75
42400156,1610612744,1642366,5,5,3,2,1,0,1,3,0,0,0,1,2,3,1,3,17.8
42400156,1610612744,1630541,13,7,3,4,0,0,0,0,0,1,1,1,1,2,1,2,22.116666667
42400156,1610612744,1630296,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.433333333
42400156,1610612744,1630611,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.4
