GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
0022400431,1610612756,PHX,Phoenix,1642346,Ryan Dunn,Ryan,F,,26.000000:30,0.221,0.231,0.255,0.143,0.286,0.167,0.154,0.4,0.105,0.167,0.067,0.0,0.0,0.286,0.0,0.333,0.1,0.211
0022400431,1610612756,PHX,Phoenix,201142,Kevin Durant,Kevin,F,,37.000000:08,0.425,0.37,0.364,0.143,0.2,0.769,0.75,0.25,0.148,0.171,0.2,0.571,0.0,0.444,0.333,0.182,0.667,0.419
0022400431,1610612756,PHX,Phoenix,203486,Mason Plumlee,Mason,C,,26.000000:07,0.049,0.0,0.0,0.0,0.0,0.222,0.2,0.167,0.444,0.375,0.375,0.222,0.5,0.333,0.0,0.1,0.25,0.033
0022400431,1610612756,PHX,Phoenix,203078,Bradley Beal,Bradley,G,,39.000000:44,0.248,0.429,0.312,0.444,0.314,0.0,0.0,0.077,0.154,0.128,0.111,0.0,0.167,0.25,0.167,0.25,0.071,0.354
0022400431,1610612756,PHX,Phoenix,1626145,Tyus Jones,Tyus,G,,31.000000:35,0.162,0.136,0.196,0.25,0.25,0.0,0.0,0.0,0.217,0.167,0.353,0.083,0.0,0.0,0.5,0.111,0.0,0.127
0022400431,1610612756,PHX,Phoenix,1626220,Royce O'Neale,Royce,,,11.000000:48,0.103,0.0,0.12,0.0,0.375,0.0,0.0,0.0,0.25,0.111,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0
0022400431,1610612756,PHX,Phoenix,1628420,Monté Morris,Monté,,,16.000000:24,0.169,0.176,0.167,0.0,0.182,0.286,0.25,0.0,0.111,0.063,0.5,0.0,0.167,0.0,0.333,0.0,0.167,0.19
0022400431,1610612756,PHX,Phoenix,1642345,Oso Ighodaro,Oso,,,19.000000:55,0.079,0.059,0.098,0.0,0.0,0.0,0.0,0.286,0.286,0.286,0.2,0.0,0.4,0.0,0.0,0.333,0.25,0.047
0022400431,1610612756,PHX,Phoenix,1629006,Josh Okogie,Josh,,,30.000000:49,0.152,0.154,0.125,0.333,0.105,0.182,0.286,0.5,0.15,0.281,0.0,0.222,0.286,0.25,0.25,0.222,0.167,0.167
0022400431,1610612756,PHX,Phoenix,1641779,Jalen Bridges,Jalen,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022400431,1610612756,PHX,Phoenix,1627814,Damion Lee,Damion,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022400431,1610612756,PHX,Phoenix,203994,Jusuf Nurkić,Jusuf,,NWT - League Suspension,,0.0,,,,,,,,,,,,,,,,,
0022400431,1610612744,GSW,Golden State,203952,Andrew Wiggins,Andrew,F,,39.000000:06,0.137,0.091,0.154,0.1,0.171,0.0,0.0,0.118,0.179,0.156,0.143,0.1,0.143,0.4,0.25,0.154,0.0,0.079
0022400431,1610612744,GSW,Golden State,203110,Draymond Green,Draymond,F,,34.000000:49,0.123,0.188,0.13,0.3,0.147,0.083,0.067,0.083,0.292,0.222,0.333,0.167,0.286,0.25,0.0,0.083,0.1,0.186
0022400431,1610612744,GSW,Golden State,1631218,Trayce Jackson-Davis,Trayce,C,,23.000000:13,0.187,0.353,0.216,0.0,0.0,0.4,0.333,0.364,0.4,0.385,0.182,0.0,0.333,0.8,0.333,0.2,0.375,0.327
0022400431,1610612744,GSW,Golden State,203471,Dennis Schröder,Dennis,G,,33.000000:38,0.192,0.143,0.186,0.125,0.2,0.154,0.118,0.083,0.1,0.094,0.158,0.333,0.0,0.0,0.375,0.083,0.091,0.143
0022400431,1610612744,GSW,Golden State,201939,Stephen Curry,Stephen,G,,35.000000:03,0.311,0.273,0.297,0.364,0.406,0.0,0.0,0.133,0.174,0.158,0.286,0.625,0.167,0.0,0.0,0.25,0.0,0.25
0022400431,1610612744,GSW,Golden State,1630228,Jonathan Kuminga,Jonathan,,,34.000000:27,0.327,0.4,0.286,0.25,0.156,0.727,0.8,0.455,0.16,0.25,0.167,0.167,0.167,0.0,0.222,0.25,0.778,0.43
0022400431,1610612744,GSW,Golden State,1627741,Buddy Hield,Buddy,,,14.000000:47,0.198,0.0,0.219,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.333,0.0,0.2,0.2,0.0,0.0
0022400431,1610612744,GSW,Golden State,1641764,Brandin Podziemski,Brandin,,,11.000000:22,0.035,0.0,0.05,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
0022400431,1610612744,GSW,Golden State,1630322,Lindy Waters III,Lindy,,,13.000000:35,0.118,0.111,0.115,0.333,0.182,0.0,0.0,0.333,0.333,0.333,0.2,0.167,1.0,0.0,0.2,0.333,0.25,0.13
0022400431,1610612744,GSW,Golden State,203937,Kyle Anderson,Kyle,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022400431,1610612744,GSW,Golden State,1626172,Kevon Looney,Kevon,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022400431,1610612744,GSW,Golden State,1630541,Moses Moody,Moses,,DNP - Injury/Illness,,0.0,,,,,,,,,,,,,,,,,
0022400431,1610612744,GSW,Golden State,1627780,Gary Payton II,Gary,,DND - Injury/Illness,,0.0,,,,,,,,,,,,,,,,,
0022400431,1610612744,GSW,Golden State,1630611,Gui Santos,Gui,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022400431,1610612744,GSW,Golden State,1630311,Pat Spencer,Pat,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022400275,1610612761,TOR,Toronto,1630534,Ochai Agbaji,Ochai,F,,27.000000:12,0.111,0.2,0.128,0.111,0.125,0.0,0.0,0.125,0.19,0.172,0.071,0.111,0.0,0.0,0.0,0.071,0.0,0.155
0022400275,1610612761,TOR,Toronto,1629628,RJ Barrett,RJ,F,,32.000000:57,0.265,0.24,0.277,0.25,0.214,0.143,0.261,0.3,0.13,0.182,0.4,0.125,0.0,0.5,0.25,0.111,0.286,0.222
0022400275,1610612761,TOR,Toronto,1627751,Jakob Poeltl,Jakob,C,,33.000000:01,0.161,0.185,0.179,0.0,0.042,0.154,0.15,0.5,0.458,0.475,0.133,0.091,0.2,0.5,0.0,0.154,0.231,0.16
0022400275,1610612761,TOR,Toronto,1641711,Gradey Dick,Gradey,G,,30.000000:48,0.232,0.231,0.266,0.429,0.391,0.273,0.188,0.133,0.087,0.105,0.071,0.091,0.0,0.0,0.5,0.273,0.182,0.257
0022400275,1610612761,TOR,Toronto,1630567,Scottie Barnes,Scottie,G,,34.000000:05,0.243,0.185,0.212,0.111,0.214,0.412,0.429,0.091,0.24,0.194,0.438,0.125,0.375,0.25,0.0,0.1,0.412,0.225
0022400275,1610612761,TOR,Toronto,1630558,Davion Mitchell,Davion,,,24.000000:38,0.169,0.1,0.082,0.333,0.188,0.0,0.143,0.0,0.056,0.033,0.25,0.6,0.333,0.0,0.0,0.3,0.125,0.107
0022400275,1610612761,TOR,Toronto,1628449,Chris Boucher,Chris,,,14.000000:09,0.252,0.231,0.28,0.0,0.3,0.4,0.308,0.25,0.2,0.214,0.0,0.0,0.5,0.0,1.0,0.429,0.25,0.256
0022400275,1610612761,TOR,Toronto,1642367,Jonathan Mogbo,Jonathan,,,20.000000:26,0.216,0.308,0.229,0.2,0.118,0.333,0.222,0.286,0.294,0.292,0.0,0.125,0.167,0.5,0.333,0.111,0.2,0.302
0022400275,1610612761,TOR,Toronto,1642419,Jamison Battle,Jamison,,,4.000000:19,0.084,0.0,0.125,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400275,1610612761,TOR,Toronto,1642347,Jamal Shead,Jamal,,,16.000000:19,0.167,0.167,0.179,0.5,0.357,0.0,0.0,0.0,0.154,0.111,0.25,0.4,0.167,0.0,0.0,0.429,0.0,0.15
0022400275,1610612761,TOR,Toronto,202066,Garrett Temple,Garrett,,,1.000000:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400275,1610612761,TOR,Toronto,1628981,Bruno Fernando,Bruno,,,1.000000:03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400275,1610612739,CLE,Cleveland,1630171,Isaac Okoro,Isaac,F,,28.000000:43,0.059,0.133,0.07,0.222,0.087,0.0,0.167,0.25,0.19,0.207,0.211,0.0,0.167,0.5,0.0,0.083,0.1,0.139
0022400275,1610612739,CLE,Cleveland,1630596,Evan Mobley,Evan,F,,32.000000:49,0.171,0.182,0.167,0.0,0.067,0.333,0.333,0.429,0.267,0.297,0.211,0.154,0.2,0.25,0.0,0.2,0.1,0.165
0022400275,1610612739,CLE,Cleveland,1628386,Jarrett Allen,Jarrett,C,,32.000000:19,0.213,0.294,0.219,0.0,0.0,0.375,0.417,0.667,0.318,0.419,0.091,0.0,0.111,1.0,0.25,0.167,0.417,0.261
