GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0042400156,1610612745,HOU,Houston,1641708,Amen Thompson,Amen,F,,35.000000:32,119.4,121.1,103.7,107.9,15.7,13.2,0.091,1.0,10.0,0.0,0.159,0.091,10.0,0.385,0.448,0.212,0.217,105.42,102.66,85.55,76,0.086
0042400156,1610612745,HOU,Houston,1628415,Dillon Brooks,Dillon,F,,18.000000:33,112.3,113.2,106.3,107.7,6.1,5.5,0.143,2.0,22.2,0.063,0.0,0.026,11.1,0.2,0.255,0.175,0.174,100.66,99.62,83.02,38,-0.046
0042400156,1610612745,HOU,Houston,1630578,Alperen Sengun,Alperen,C,,37.000000:06,107.8,107.9,94.7,97.4,13.0,10.5,0.353,3.0,19.4,0.075,0.25,0.167,6.5,0.4,0.455,0.284,0.297,100.42,98.97,82.47,76,0.192
0042400156,1610612745,HOU,Houston,1630224,Jalen Green,Jalen,G,,32.000000:03,112.9,118.2,86.2,87.9,26.7,30.3,0.143,3.0,17.6,0.032,0.093,0.068,5.9,0.318,0.44,0.184,0.186,102.11,98.85,82.37,66,0.09
0042400156,1610612745,HOU,Houston,1627832,Fred VanVleet,Fred,G,,39.000000:53,123.1,126.8,107.2,110.8,15.9,16.0,0.333,4.0,29.6,0.026,0.152,0.095,7.4,0.769,0.855,0.198,0.201,102.45,99.28,82.73,82,0.215
0042400156,1610612745,HOU,Houston,203500,Steven Adams,Steven,,,31.000000:03,121.8,125.4,95.0,101.6,26.8,23.8,0.0,0.0,0.0,0.1,0.05,0.071,0.0,1.0,0.77,0.156,0.163,102.21,97.42,81.18,63,0.147
0042400156,1610612745,HOU,Houston,1631106,Tari Eason,Tari,,,16.000000:06,118.0,114.7,101.6,108.8,16.4,5.9,0.111,0.0,20.0,0.0,0.105,0.056,0.0,1.0,1.0,0.098,0.105,103.51,101.37,84.47,34,0.202
0042400156,1610612745,HOU,Houston,1631095,Jabari Smith Jr.,Jabari,,,18.000000:38,134.3,132.4,105.4,108.1,28.9,24.3,0.083,0.5,14.3,0.053,0.105,0.079,28.6,1.0,1.0,0.125,0.135,95.88,95.31,79.43,37,0.101
0042400156,1610612745,HOU,Houston,1628988,Aaron Holiday,Aaron,,,5.000000:34,91.1,75.0,143.1,141.7,-52.0,-66.7,0.0,0.0,0.0,0.167,0.0,0.111,0.0,0.75,0.75,0.154,0.184,93.82,103.47,86.23,12,0.055
0042400156,1610612745,HOU,Houston,1641715,Cam Whitmore,Cam,,,1.000000:32,0.0,0.0,200.0,200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.333,109.57,140.87,117.39,5,-0.091
0042400156,1610612745,HOU,Houston,201145,Jeff Green,Jeff,,,1.000000:32,0.0,0.0,200.0,200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.57,140.87,117.39,5,0.0
0042400156,1610612745,HOU,Houston,1631466,Nate Williams,Nate,,,1.000000:14,0.0,0.0,200.0,200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.25,0.333,116.76,136.22,113.51,4,-0.125
