GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT
0022400392,1610612762,UTA,Utah,1629004,Svi Mykhailiuk,G,,25:23,4.54,2.02,0,3,3,47,1,0,34,3,1,3,0.333,3,7,0.429,0.4,2,2,1.0
0022400392,1610612762,UTA,Utah,1629012,Collin Sexton,G,,36:20,4.03,2.62,3,4,7,92,1,0,64,5,3,6,0.5,7,16,0.438,0.455,4,5,0.8
0022400392,1610612762,UTA,Utah,1642268,Isaiah Collier,,,13:38,4.41,1.07,1,2,3,33,0,0,30,4,0,1,0.0,0,0,0.0,0.0,0,1,0.0
0022400392,1610612762,UTA,Utah,203903,Jordan Clarkson,,,33:29,4.18,2.53,1,8,9,73,2,1,43,5,2,9,0.222,5,8,0.625,0.411,0,2,0.0
0022400392,1610612762,UTA,Utah,1641729,Brice Sensabaugh,,,10:50,4.2,0.83,1,5,6,15,0,0,10,2,0,0,0.0,1,4,0.25,0.25,1,2,0.5
0022400392,1610612762,UTA,Utah,1642271,Kyle Filipowski,,,9:33,4.63,0.79,2,3,5,16,0,0,13,2,0,2,0.0,0,0,0.0,0.0,0,0,0.0
0022400392,1610612762,UTA,Utah,1630548,Johnny Juzang,,,14:10,4.8,1.24,2,0,2,11,0,0,7,0,0,1,0.0,1,1,1.0,0.5,0,2,0.0
0022400392,1610612762,UTA,Utah,1629234,Drew Eubanks,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022400392,1610612762,UTA,Utah,201988,Patty Mills,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022400392,1610612762,UTA,Utah,1642262,Cody Williams,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022400392,1610612739,CLE,Cleveland,1630241,Sam Merrill,F,,23:58,4.57,1.92,1,4,5,40,0,0,24,4,0,1,0.0,6,11,0.545,0.5,2,3,0.667
0022400392,1610612739,CLE,Cleveland,1630596,Evan Mobley,F,,33:42,4.08,2.45,7,14,21,71,0,0,49,4,5,11,0.455,4,6,0.667,0.529,1,2,0.5
0022400392,1610612739,CLE,Cleveland,1628386,Jarrett Allen,C,,26:54,4.23,2.01,4,16,20,33,0,0,25,2,2,6,0.333,0,0,0.0,0.333,1,4,0.25
0022400392,1610612739,CLE,Cleveland,1628378,Donovan Mitchell,G,,33:42,3.98,2.39,0,4,4,61,2,0,42,7,1,4,0.25,6,11,0.545,0.467,1,1,1.0
0022400392,1610612739,CLE,Cleveland,1629636,Darius Garland,G,,32:41,4.23,2.46,2,3,5,70,1,2,48,8,2,3,0.667,6,11,0.545,0.57,1,1,1.0
0022400392,1610612739,CLE,Cleveland,1629622,Max Strus,,,21:45,4.57,1.8,3,4,6,27,0,1,22,2,0,0,0.0,1,3,0.333,0.333,2,2,1.0
0022400392,1610612739,CLE,Cleveland,1627747,Caris LeVert,,,23:56,3.99,1.74,4,6,9,33,0,0,25,1,2,2,1.0,1,4,0.25,0.5,3,4,0.75
0022400392,1610612739,CLE,Cleveland,1627777,Georges Niang,,,21:15,4.08,1.57,1,13,14,29,0,0,18,3,0,1,0.0,3,7,0.429,0.375,1,1,1.0
0022400392,1610612739,CLE,Cleveland,1629660,Ty Jerome,,,13:54,4.13,1.03,1,0,1,21,0,0,14,2,1,2,0.5,1,5,0.2,0.285,1,1,1.0
0022400392,1610612739,CLE,Cleveland,1642281,Jaylon Tyson,,,8:13,4.56,0.67,2,2,4,10,0,0,7,0,1,1,1.0,1,2,0.5,0.667,0,0,0.0
0022400392,1610612739,CLE,Cleveland,1641854,Craig Porter Jr.,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022400392,1610612739,CLE,Cleveland,202684,Tristan Thompson,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022400392,1610612739,CLE,Cleveland,1630550,JT Thor,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022400963,1610612753,ORL,Orlando,1630532,Franz Wagner,F,,34:05,4.49,2.78,7,3,10,63,0,0,38,4,4,15,0.267,0,1,0.0,0.25,5,6,0.833
0022400963,1610612753,ORL,Orlando,1631094,Paolo Banchero,F,,37:23,4.06,2.71,4,12,15,87,1,0,48,3,11,14,0.786,5,18,0.278,0.5,4,6,0.667
0022400963,1610612753,ORL,Orlando,1628976,Wendell Carter Jr.,C,,31:20,4.0,2.22,3,9,12,30,1,0,22,2,1,1,1.0,1,4,0.25,0.4,3,4,0.75
0022400963,1610612753,ORL,Orlando,1641783,Tristan da Silva,G,,21:55,4.75,1.83,3,3,6,20,1,0,13,0,1,2,0.5,2,4,0.5,0.5,2,2,1.0
0022400963,1610612753,ORL,Orlando,202709,Cory Joseph,G,,28:03,4.5,2.26,0,4,4,52,1,0,43,3,3,3,1.0,1,3,0.333,0.667,0,0,0.0
0022400963,1610612753,ORL,Orlando,1629048,Goga Bitadze,,,5:34,4.41,0.44,1,1,2,9,0,0,9,1,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0022400963,1610612753,ORL,Orlando,203914,Gary Harris,,,20:58,4.09,1.54,1,1,2,12,0,0,10,1,0,1,0.0,1,1,1.0,0.5,2,2,1.0
0022400963,1610612753,ORL,Orlando,1641710,Anthony Black,,,20:29,4.36,1.61,3,3,6,42,1,0,31,2,2,5,0.4,0,3,0.0,0.25,3,4,0.75
0022400963,1610612753,ORL,Orlando,1628371,Jonathan Isaac,,,9:24,4.4,0.75,2,3,5,17,0,0,11,1,0,2,0.0,1,1,1.0,0.333,1,2,0.5
0022400963,1610612753,ORL,Orlando,1641724,Jett Howard,,,4:17,4.82,0.37,0,2,2,6,0,0,3,0,1,1,1.0,0,1,0.0,0.5,0,0,0.0
