GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0022400974,1610612752,NYK,New York,1628404,Josh Hart,Josh,F,,38.000000:31,0.714,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400974,1610612752,NYK,New York,1628384,OG Anunoby,OG,F,,38.000000:19,0.8,0.2,0.435,0.0,0.261,0.261,0.304,0.261,0.435,0.8,0.2,0.5,0.5,0.714,0.286
0022400974,1610612752,NYK,New York,1626157,Karl-Anthony Towns,Karl-Anthony,C,,29.000000:50,0.762,0.238,0.621,0.0,0.31,0.103,0.069,0.0,0.621,0.222,0.778,1.0,0.0,0.417,0.583
0022400974,1610612752,NYK,New York,1628969,Mikal Bridges,Mikal,G,,38.000000:02,0.786,0.214,0.737,0.105,0.158,0.0,0.105,0.105,0.632,0.571,0.429,1.0,0.0,0.625,0.375
0022400974,1610612752,NYK,New York,1630540,Miles McBride,Miles,G,,37.000000:43,0.647,0.353,0.526,0.211,0.474,0.0,0.0,0.0,0.316,0.2,0.8,1.0,0.0,0.5,0.5
0022400974,1610612752,NYK,New York,1629011,Mitchell Robinson,Mitchell,,,16.000000:22,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0022400974,1610612752,NYK,New York,1629013,Landry Shamet,Landry,,,20.000000:34,0.75,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0022400974,1610612752,NYK,New York,1626166,Cameron Payne,Cameron,,,10.000000:18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400974,1610612752,NYK,New York,1630173,Precious Achiuwa,Precious,,,10.000000:22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400974,1610612752,NYK,New York,1642278,Tyler Kolek,Tyler,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
