GAME_ID,TEAM_ID,PLAYER_ID,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,MIN
22400451,1610612759,1630577,0.25,0.75,0.222,0,0.667,0.222,0.111,0,0.222,1,0,1,0,1,0,16.016666667
22400451,1610612759,1630200,0.5,0.5,1,0,0,0,0,1,1,1,0,0,0,1,0,17.933333333
22400451,1610612759,1631104,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,8.55
22400451,1610612759,1630572,0.667,0.333,1,0,0,0,0,0,1,1,0,0,0,1,0,7.866666667
22400451,1610612759,1631103,0.25,0.75,0.4,0,0.6,0,0,0,0.4,1,0,1,0,1,0,7.366666667
22400451,1610612759,1631321,0.5,0.5,1,0,0,1,0,0,1,1,0,0,0,1,0,5.583333333
22400451,1610612759,1629646,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,5.583333333
22400789,1610612738,1627759,0.538,0.462,0.5,0.2,0.3,0.1,0.2,0.2,0.3,0.4,0.6,0.5,0.5,0.429,0.571,26.933333333
22400789,1610612738,1628369,0.462,0.538,0.4,0.133,0.4,0.133,0.2,0,0.267,1,0,0.5,0.5,0.8,0.2,34.533333333
22400789,1610612738,204001,0.455,0.545,0.235,0,0.529,0.118,0.235,0,0.235,1,0,1,0,1,0,25.366666667
22400789,1610612738,1628401,0.3,0.7,0.25,0.125,0.563,0,0.188,0,0.125,0.5,0.5,1,0,0.8,0.2,25.95
22400789,1610612738,201950,0.5,0.5,0.25,0,0.75,0,0,0.375,0.25,0,1,1,0,0.667,0.333,19.733333333
22400789,1610612738,201143,0.286,0.714,0.182,0,0.818,0,0,0.273,0.182,1,0,1,0,1,0,18.283333333
22400789,1610612738,1630202,0.167,0.833,0.143,0,0.857,0,0,0.107,0.143,0,1,0.875,0.125,0.7,0.3,31.383333333
22400789,1610612738,1630573,0.167,0.833,0,0,1,0,0,0,0,0,0,1,0,1,0,21.4
22400789,1610612738,1628436,1,0,1,0,0,0.333,0,0.333,1,1,0,0,0,1,0,17.4
22400789,1610612738,1628470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.766666667
22400789,1610612738,1641775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.833333333
22400789,1610612738,1629674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.833333333
22400789,1610612738,1631248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400789,1610612755,1626162,0.571,0.429,0.625,0,0.188,0.125,0.188,0.125,0.625,1,0,1,0,1,0,34.85
22400789,1610612755,202331,0.357,0.643,0.471,0.353,0.529,0,0,0,0.118,0.25,0.75,0.667,0.333,0.429,0.571,29.266666667
22400789,1610612755,203954,0.778,0.222,0.4,0.267,0,0,0.6,0.333,0.133,0.333,0.667,0,0,0.333,0.667,27.033333333
22400789,1610612755,1629656,0.583,0.417,0.667,0.167,0.25,0.333,0.083,0.167,0.5,0.5,0.5,1,0,0.6,0.4,33.1
22400789,1610612755,1630178,0.6,0.4,0.625,0,0.188,0,0.188,0,0.625,0.4,0.6,0,1,0.333,0.667,34.35
22400789,1610612755,1627824,0.833,0.167,1,0,0,0.5,0,0,1,0.5,0.5,0,0,0.5,0.5,24.633333333
22400789,1610612755,1641741,0.5,0.5,0.4,0,0.6,0.4,0,0.2,0.4,1,0,1,0,1,0,21.533333333
22400789,1610612755,203083,1,0,1,0,0,0.25,0,0,1,0.5,0.5,0,0,0.5,0.5,12.883333333
22400789,1610612755,1630215,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45
22400789,1610612755,1631223,0.429,0.571,1,0,0,0,0,0,1,0.5,0.5,0,0,0.5,0.5,13.483333333
22400789,1610612755,1630288,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,4.833333333
22400789,1610612755,1641737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833333333
22400014,1610612751,1627732,1,0,1,0,0,0,0,0,1,0.5,0.5,0,0,0.5,0.5,24.716666667
22400014,1610612751,1629661,0.5,0.5,0.235,0,0.176,0.118,0.588,0.294,0.235,0.5,0.5,1,0,0.667,0.333,36.266666667
22400014,1610612751,1627827,0.333,0.667,0,0,0.8,0,0.2,0.133,0,0,0,1,0,1,0,32.3
22400014,1610612751,1630560,0.545,0.455,0.419,0.14,0.488,0.047,0.093,0.163,0.279,0.667,0.333,0.714,0.286,0.688,0.313,38.716666667
22400014,1610612751,203471,0.412,0.588,0.286,0.286,0.429,0.357,0.286,0,0,0,1,1,0,0.5,0.5,33.566666667
22400014,1610612751,1630533,0.6,0.4,0.667,0,0.333,0.222,0,0.222,0.667,0.667,0.333,1,0,0.75,0.25,28.2
22400014,1610612751,1641730,0,1,0,0,0.6,0,0.4,0.6,0,0,0,1,0,1,0,12.883333333
22400014,1610612751,1630553,0.25,0.75,0.286,0,0.429,0,0.286,0,0.286,0,1,1,0,0.5,0.5,11.733333333
22400014,1610612751,1629003,0.667,0.333,1,1,0,0,0,0,0,0,1,0,0,0,1,5.5
22400014,1610612751,1630592,0.333,0.667,0,0,1,0,0,0,0,0,0,1,0,1,0,16.116666667
22400014,1610612751,1631213,,,,,,,,,,,,,,,,0
22400014,1610612751,1642385,,,,,,,,,,,,,,,,0
22400014,1610612752,1628384,0.529,0.471,0.72,0.08,0.12,0.24,0.16,0.24,0.64,0.667,0.333,1,0,0.7,0.3,38.75
22400014,1610612752,1628404,0.286,0.714,0.143,0.143,0.429,0.143,0.429,0.214,0,1,0,0.5,0.5,0.667,0.333,40.25
22400014,1610612752,1630579,1,0,1,0,0,0,0,0,1,0.5,0.5,0,0,0.5,0.5,17.983333333
22400014,1610612752,1628969,0.588,0.412,0.455,0.364,0.545,0,0,0.136,0.091,0.6,0.4,1,0,0.778,0.222,41.166666667
22400014,1610612752,1628973,0.6,0.4,0.486,0.108,0.243,0.081,0.27,0.081,0.378,0.222,0.778,0.333,0.667,0.25,0.75,34.116666667
22400014,1610612752,1626166,0.4,0.6,0.4,0,0.6,0.3,0,0,0.4,0,1,0.5,0.5,0.25,0.75,19.183333333
22400014,1610612752,1630574,1,0,0.857,0,0,0.286,0.143,0,0.857,1,0,0,0,1,0,30.016666667
22400014,1610612752,1642278,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.833333333
22400014,1610612752,1642359,0,1,0,0,0.6,0,0.4,0,0,0,0,1,0,1,0,11.7
22400014,1610612752,1630540,,,,,,,,,,,,,,,,0
22400014,1610612752,1630346,,,,,,,,,,,,,,,,0
22400014,1610612752,1631210,,,,,,,,,,,,,,,,0
22400014,1610612752,1626157,,,,,,,,,,,,,,,,0
22400439,1610612748,1629312,0.333,0.667,0.4,0,0.6,0,0,0.333,0.4,0.333,0.667,1,0,0.667,0.333,37.55
22400439,1610612748,201567,0.857,0.143,0.4,0,0,0,0.6,0.2,0.4,0,1,0,0,0,1,14
22400439,1610612748,1628389,0.917,0.083,0.667,0,0,0,0.333,0.167,0.667,1,0,0,0,1,0,34.283333333
22400439,1610612748,1629639,0.588,0.412,0.519,0.148,0.333,0.185,0.148,0.222,0.37,0.143,0.857,1,0,0.4,0.6,36.95
22400439,1610612748,1626179,0.579,0.421,0.857,0.143,0,0.286,0.143,0,0.714,0.333,0.667,0,0,0.333,0.667,38.183333333
22400439,1610612748,1631170,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,16.416666667
22400439,1610612748,1631107,0.444,0.556,0.222,0,0.5,0.278,0.278,0,0.222,0.5,0.5,0.667,0.333,0.6,0.4,30.966666667
22400439,1610612748,1642276,1,0,0.857,0,0,0,0.143,0,0.857,1,0,0,0,1,0,13.716666667
22400439,1610612748,202692,0,1,0,0,0.75,0,0.25,0.25,0,0,0,1,0,1,0,17.933333333
22400439,1610612748,202710,,,,,,,,,,,,,,,,0
22400439,1610612748,1630528,,,,,,,,,,,,,,,,0
