GAME_ID,TEAM_ID,PLAYER_ID,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,MIN
22400451,1610612746,1641757,4.51,1.14,3,6,9,22,1,0,19,3,0,0,0,0,1,0,0,3,3,1,14.15
22400451,1610612746,1641738,4.2,0.9,4,2,6,16,0,0,9,0,0,1,0,2,5,0.4,0.333,1,1,1,12
22400451,1610612759,1631110,4.12,1.11,4,3,6,21,1,0,15,2,1,3,0.333,1,2,0.5,0.4,0,0,0,15.216666667
22400451,1610612759,203084,4.37,1.92,5,5,10,28,0,0,19,1,1,2,0.5,3,7,0.429,0.444,2,3,0.667,24.75
22400451,1610612759,1641705,4.34,1.98,4,12,16,42,1,0,18,5,4,7,0.571,6,11,0.545,0.556,1,5,0.2,25.683333333
22400451,1610612759,1630170,4.24,1.96,0,3,3,46,1,0,32,3,2,4,0.5,2,10,0.2,0.285,1,2,0.5,26.4
22400451,1610612759,101108,3.58,1.28,3,7,10,43,1,1,38,4,0,0,0,3,5,0.6,0.599,0,0,0,20.15
22400451,1610612759,1628380,4.01,1.17,5,3,8,26,0,0,19,4,2,2,1,0,3,0,0.4,1,3,0.333,16.733333333
22400451,1610612759,1629640,4.34,1.45,1,8,9,30,0,0,17,1,5,6,0.833,2,5,0.4,0.636,0,2,0,19
22400451,1610612759,1642264,4.28,1.74,1,4,5,37,1,1,25,4,3,4,0.75,2,4,0.5,0.625,1,1,1,23.166666667
22400451,1610612759,1630577,4.36,1.24,1,3,4,29,0,0,19,1,0,1,0,3,7,0.429,0.375,3,3,1,16.016666667
22400451,1610612759,1630200,4.4,1.38,4,4,8,34,0,0,30,4,0,1,0,1,1,1,0.5,0,0,0,17.933333333
22400451,1610612759,1631104,4.37,0.66,0,3,3,14,2,0,13,4,0,0,0,1,1,1,1,0,0,0,8.55
22400451,1610612759,1630572,4.34,0.61,1,5,6,18,0,0,14,1,2,2,1,0,1,0,0.667,1,1,1,7.866666667
22400451,1610612759,1631103,4.01,0.53,0,2,2,9,0,0,4,0,0,0,0,2,4,0.5,0.5,1,2,0.5,7.366666667
22400451,1610612759,1631321,4.03,0.4,0,0,0,8,0,0,6,1,0,0,0,1,2,0.5,0.5,0,0,0,5.583333333
22400451,1610612759,1629646,3.82,0.38,2,2,4,8,0,0,5,2,0,2,0,1,1,1,0.333,0,0,0,5.583333333
22400789,1610612738,1627759,4.08,1.95,3,8,11,49,0,1,27,6,3,5,0.6,4,8,0.5,0.538,1,1,1,26.933333333
22400789,1610612738,1628369,3.75,2.28,0,14,14,84,4,0,67,10,1,4,0.25,4,9,0.444,0.385,3,3,1,34.533333333
