SEASON,GAME_DATE,GAME_ID,GAME_CODE,HOME_TEAM_ID,HOME_TEAM_SCORE,AWAY_TEAM_ID,AWAY_TEAM_SCORE,POINTS_LEADER_ID,POINTS_LEADER_POINTS
2024-25,2024-10-16,12400060,20241016/ULMPOR,1610612757,111,15025,100,1630703,23
2024-25,2024-10-17,12400061,20241017/CHAIND,1610612754,121,1610612766,116,1641706,20
2024-25,2024-10-17,12400062,20241017/MILDAL,1610612742,109,1610612749,84,202681,14
2024-25,2024-10-17,12400063,20241017/SASHOU,1610612745,129,1610612759,107,1630224,30
2024-25,2024-10-17,12400064,20241017/ATLOKC,1610612760,104,1610612737,99,1641723,31
2024-25,2024-10-17,12400065,20241017/LALPHX,1610612756,122,1610612747,128,203076,35
2024-25,2024-10-17,12400066,20241017/SACLAC,1610612746,113,1610612758,91,1627734,24
2024-25,2024-10-17,12400072,20241017/DENMIN,1610612750,126,1610612743,132,1631124,33
2024-25,2024-10-18,12400067,20241018/PHIORL,1610612753,114,1610612755,99,1631094,21
2024-25,2024-10-18,12400068,20241018/NYKWAS,1610612764,118,1610612752,117,1628973,27
2024-25,2024-10-18,12400069,20241018/TORBKN,1610612751,112,1610612761,116,1629661,32
2024-25,2024-10-18,12400070,20241018/CLECHI,1610612741,139,1610612739,137,1628386,25
2024-25,2024-10-18,12400071,20241018/MIAMEM,1610612763,109,1610612748,114,1630217,19
2024-25,2024-10-18,12400073,20241018/UTAPOR,1610612757,124,1610612762,86,1641712,20
2024-25,2024-10-18,12400074,20241018/LALGSW,1610612744,132,1610612747,74,1642439,22
2024-25,2024-10-22,22400061,20241022/NYKBOS,1610612738,132,1610612752,109,1628369,37
2024-25,2024-10-22,22400062,20241022/MINLAL,1610612747,110,1610612750,103,203076,36
2024-25,2024-10-23,22400063,20241023/INDDET,1610612765,109,1610612754,115,1630595,28
2024-25,2024-10-23,22400064,20241023/BKNATL,1610612737,120,1610612751,116,1630560,36
2024-25,2024-10-23,22400065,20241023/ORLMIA,1610612748,97,1610612753,116,1631094,33
2024-25,2024-10-23,22400066,20241023/MILPHI,1610612755,109,1610612749,124,203081,30
2024-25,2024-10-23,22400067,20241023/CLETOR,1610612761,106,1610612739,136,1630596,25
2024-25,2024-10-23,22400068,20241023/CHAHOU,1610612745,105,1610612766,110,1630163,34
2024-25,2024-10-23,22400069,20241023/CHINOP,1610612740,123,1610612741,111,1627742,33
2024-25,2024-10-23,22400070,20241023/MEMUTA,1610612762,124,1610612763,126,1628374,35
2024-25,2024-10-23,22400071,20241023/PHXLAC,1610612746,113,1610612756,116,201935,29
2024-25,2024-10-23,22400072,20241023/GSWPOR,1610612757,104,1610612744,140,1627741,22
2024-25,2024-10-24,22400073,20241024/BOSWAS,1610612764,102,1610612738,122,1627759,27
2024-25,2024-10-24,22400074,20241024/SASDAL,1610612742,120,1610612759,109,1629029,28
2024-25,2024-10-24,22400075,20241024/OKCDEN,1610612743,87,1610612760,102,1628983,28
2024-25,2024-10-24,22400076,20241024/MINSAC,1610612758,115,1610612750,117,203944,33
2024-25,2024-10-25,22400077,20241025/BKNORL,1610612753,116,1610612751,101,1630532,29
2024-25,2024-10-25,22400078,20241025/PHITOR,1610612761,115,1610612755,107,1626162,28
2024-25,2024-10-25,22400079,20241025/CHAATL,1610612737,125,1610612766,120,1629027,38
2024-25,2024-10-25,22400080,20241025/DETCLE,1610612739,113,1610612765,101,1630595,33
2024-25,2024-10-25,22400081,20241025/INDNYK,1610612752,123,1610612754,98,1628973,26
2024-25,2024-10-25,22400082,20241025/MEMHOU,1610612745,128,1610612763,108,1629630,24
2024-25,2024-10-25,22400083,20241025/CHIMIL,1610612749,122,1610612741,133,203507,38
2024-25,2024-10-25,22400084,20241025/GSWUTA,1610612762,86,1610612744,127,1627741,27
2024-25,2024-10-25,22400085,20241025/PHXLAL,1610612747,123,1610612756,116,203076,35
2024-25,2024-10-25,22400086,20241025/NOPPOR,1610612757,103,1610612740,105,203924,34
2024-25,2024-10-26,22400087,20241026/LACDEN,1610612743,104,1610612746,109,203999,41
2024-25,2024-10-26,22400088,20241026/MIACHA,1610612766,106,1610612748,114,1630163,27
2024-25,2024-10-26,22400089,20241026/BOSDET,1610612765,118,1610612738,124,1628369,37
2024-25,2024-10-26,22400090,20241026/CLEWAS,1610612764,116,1610612739,135,1628378,30
2024-25,2024-10-26,22400091,20241026/OKCCHI,1610612741,95,1610612760,114,1631114,24
2024-25,2024-10-26,22400092,20241026/ORLMEM,1610612763,124,1610612753,111,1630532,23
2024-25,2024-10-26,22400093,20241026/TORMIN,1610612750,112,1610612761,101,1641711,25
2024-25,2024-10-26,22400094,20241026/HOUSAS,1610612759,109,1610612745,106,1630224,29
2024-25,2024-10-26,22400095,20241026/DALPHX,1610612756,114,1610612742,102,1629029,40
2024-25,2024-10-26,22400096,20241026/SACLAL,1610612747,131,1610612758,127,2544,32
2024-25,2024-10-27,22400097,20241027/PHIIND,1610612754,114,1610612755,118,1630178,45
2024-25,2024-10-27,22400098,20241027/MILBKN,1610612751,115,1610612749,102,1630560,32
2024-25,2024-10-27,22400099,20241027/NOPPOR,1610612757,125,1610612740,103,203924,28
2024-25,2024-10-27,22400100,20241027/ATLOKC,1610612760,128,1610612737,104,1628983,35
2024-25,2024-10-27,22400101,20241027/LACGSW,1610612744,104,1610612746,112,203952,29
2024-25,2024-10-28,22400102,20241028/INDORL,1610612753,119,1610612754,115,1631094,50
2024-25,2024-10-28,22400103,20241028/WASATL,1610612737,119,1610612764,121,1630552,29
2024-25,2024-10-28,22400104,20241028/MILBOS,1610612738,119,1610612749,108,203081,33
2024-25,2024-10-28,22400105,20241028/DETMIA,1610612748,106,1610612765,98,1630595,24
2024-25,2024-10-28,22400106,20241028/CLENYK,1610612752,104,1610612739,110,1629636,34
2024-25,2024-10-28,22400107,20241028/DENTOR,1610612761,125,1610612743,127,203999,40
2024-25,2024-10-28,22400108,20241028/CHIMEM,1610612763,123,1610612741,126,203897,30
2024-25,2024-10-28,22400109,20241028/HOUSAS,1610612759,101,1610612745,106,1630224,36
2024-25,2024-10-28,22400110,20241028/UTADAL,1610612742,110,1610612762,102,202681,23
2024-25,2024-10-28,22400111,20241028/LALPHX,1610612756,109,1610612747,105,1626164,33
2024-25,2024-10-28,22400112,20241028/PORSAC,1610612758,111,1610612757,98,1628368,24
2024-25,2024-10-29,22400113,20241029/DENBKN,1610612751,139,1610612743,144,203999,29
2024-25,2024-10-29,22400114,20241029/DALMIN,1610612750,114,1610612742,120,1630162,37
2024-25,2024-10-29,22400115,20241029/SACUTA,1610612762,96,1610612758,113,1627734,28
2024-25,2024-10-29,22400116,20241029/NOPGSW,1610612744,124,1610612740,106,1629627,31
2024-25,2024-10-30,22400117,20241030/TORCHA,1610612766,138,1610612761,133,1629628,31
2024-25,2024-10-30,22400118,20241030/LALCLE,1610612739,134,1610612747,110,2544,26
2024-25,2024-10-30,22400119,20241030/BOSIND,1610612754,135,1610612738,132,1628369,37
2024-25,2024-10-30,22400120,20241030/DETPHI,1610612755,95,1610612765,105,1630178,32
2024-25,2024-10-30,22400121,20241030/ATLWAS,1610612764,133,1610612737,120,1629027,35
2024-25,2024-10-30,22400122,20241030/NYKMIA,1610612748,107,1610612752,116,1626157,44
2024-25,2024-10-30,22400123,20241030/ORLCHI,1610612741,102,1610612753,99,1631094,31
2024-25,2024-10-30,22400124,20241030/BKNMEM,1610612763,106,1610612751,119,203471,33
2024-25,2024-10-30,22400125,20241030/SASOKC,1610612760,105,1610612759,93,1629652,20
2024-25,2024-10-30,22400126,20241030/NOPGSW,1610612744,104,1610612740,89,1641722,23
2024-25,2024-10-30,22400127,20241030/PORLAC,1610612746,105,1610612757,106,1626181,30
2024-25,2024-10-31,22400128,20241031/MILMEM,1610612763,122,1610612749,99,203507,37
2024-25,2024-10-31,22400129,20241031/HOUDAL,1610612742,102,1610612745,108,1629029,29
2024-25,2024-10-31,22400130,20241031/SASUTA,1610612762,88,1610612759,106,1641705,25
2024-25,2024-10-31,22400131,20241031/PHXLAC,1610612746,119,1610612756,125,1626164,40
2024-25,2024-11-01,22400132,20241101/BOSCHA,1610612766,109,1610612738,124,1628369,32
2024-25,2024-11-01,22400133,20241101/ORLCLE,1610612739,120,1610612753,109,1630591,28
2024-25,2024-11-01,22400134,20241101/NYKDET,1610612765,98,1610612752,128,1628973,36
2024-25,2024-11-01,22400135,20241101/SACATL,1610612737,115,1610612758,123,1628368,31
2024-25,2024-11-01,22400136,20241101/CHIBKN,1610612751,120,1610612741,112,1630560,32
2024-25,2024-11-01,22400137,20241101/LALTOR,1610612761,125,1610612747,131,203076,38
2024-25,2024-11-01,22400138,20241101/INDNOP,1610612740,125,1610612754,118,1629627,34
2024-25,2024-11-01,22400139,20241101/DENMIN,1610612750,119,1610612743,116,203932,31
2024-25,2024-11-01,22400140,20241101/OKCPOR,1610612757,114,1610612760,137,1628983,30
2024-25,2024-11-02,22400141,20241102/BOSCHA,1610612766,103,1610612738,113,1630163,36
2024-25,2024-11-02,22400142,20241102/MEMPHI,1610612755,107,1610612763,124,1628991,27
2024-25,2024-11-02,22400143,20241102/SACTOR,1610612761,131,1610612758,128,201942,33
2024-25,2024-11-02,22400144,20241102/GSWHOU,1610612745,121,1610612744,127,1631106,27
2024-25,2024-11-02,22400145,20241102/CLEMIL,1610612749,113,1610612739,114,203081,41
2024-25,2024-11-02,22400146,20241102/MINSAS,1610612759,113,1610612750,103,1629640,25
2024-25,2024-11-02,22400147,20241102/MIAWAS,1610612764,98,1610612748,118,1628389,32
2024-25,2024-11-02,22400148,20241102/UTADEN,1610612743,129,1610612762,103,203999,27
2024-25,2024-11-02,22400149,20241102/PORPHX,1610612756,103,1610612757,97,1626164,28
2024-25,2024-11-02,22400150,20241102/OKCLAC,1610612746,92,1610612760,105,1628983,25
2024-25,2024-11-03,22400151,20241103/DETBKN,1610612751,92,1610612765,106,1629661,26
2024-25,2024-11-03,22400152,20241103/ATLNOP,1610612740,111,1610612737,126,1627742,32
2024-25,2024-11-03,22400153,20241103/ORLDAL,1610612742,108,1610612753,85,1629029,32
2024-25,2024-11-04,22400154,20241104/MILCLE,1610612739,116,1610612749,114,1629636,39
2024-25,2024-11-04,22400155,20241104/GSWWAS,1610612764,112,1610612744,125,201939,24
2024-25,2024-11-04,22400156,20241104/LALDET,1610612765,115,1610612747,103,203076,37
2024-25,2024-11-04,22400157,20241104/BOSATL,1610612737,93,1610612738,123,1628369,28
2024-25,2024-11-04,22400158,20241104/MEMBKN,1610612751,106,1610612763,104,1629630,25
2024-25,2024-11-04,22400159,20241104/SACMIA,1610612748,110,1610612758,111,1628368,28
2024-25,2024-11-04,22400160,20241104/UTACHI,1610612741,126,1610612762,135,1641718,33
2024-25,2024-11-04,22400161,20241104/NYKHOU,1610612745,109,1610612752,97,1628973,29
2024-25,2024-11-04,22400162,20241104/CHAMIN,1610612750,114,1610612766,93,1629675,25
2024-25,2024-11-04,22400163,20241104/ORLOKC,1610612760,102,1610612753,86,1631114,23
2024-25,2024-11-04,22400164,20241104/PORNOP,1610612740,100,1610612757,118,1627742,27
2024-25,2024-11-04,22400165,20241104/INDDAL,1610612742,127,1610612754,134,1629029,34
2024-25,2024-11-04,22400166,20241104/TORDEN,1610612743,121,1610612761,119,203999,28
2024-25,2024-11-04,22400167,20241104/PHIPHX,1610612756,118,1610612755,116,201142,35
2024-25,2024-11-04,22400168,20241104/SASLAC,1610612746,113,1610612759,104,1641705,24
2024-25,2024-11-06,22400169,20241106/DETCHA,1610612766,108,1610612765,107,1628970,27
2024-25,2024-11-06,22400170,20241106/ORLIND,1610612754,118,1610612753,111,1630532,28
2024-25,2024-11-06,22400171,20241106/NYKATL,1610612737,121,1610612752,116,1626157,34
2024-25,2024-11-06,22400172,20241106/GSWBOS,1610612738,112,1610612744,118,1628369,32
2024-25,2024-11-06,22400173,20241106/SASHOU,1610612745,127,1610612759,100,1627832,21
2024-25,2024-11-06,22400174,20241106/LALMEM,1610612763,131,1610612747,114,2544,39
2024-25,2024-11-06,22400175,20241106/CLENOP,1610612740,122,1610612739,131,1628378,29
2024-25,2024-11-06,22400176,20241106/CHIDAL,1610612742,119,1610612741,99,1629029,27
2024-25,2024-11-06,22400177,20241106/OKCDEN,1610612743,124,1610612760,122,201566,29
2024-25,2024-11-06,22400178,20241106/MIAPHX,1610612756,115,1610612748,112,201142,32
2024-25,2024-11-06,22400179,20241106/PHILAC,1610612746,110,1610612755,98,1626181,26
2024-25,2024-11-06,22400180,20241106/TORSAC,1610612758,122,1610612761,107,201942,27
2024-25,2024-11-07,22400181,20241107/MINCHI,1610612741,119,1610612750,135,1630162,33
2024-25,2024-11-07,22400182,20241107/UTAMIL,1610612749,123,1610612762,100,203081,34
2024-25,2024-11-07,22400183,20241107/PORSAS,1610612759,118,1610612757,105,203924,21
2024-25,2024-11-08,22400184,20241108/INDCHA,1610612766,103,1610612754,83,1630163,31
2024-25,2024-11-08,22400185,20241108/ATLDET,1610612765,122,1610612737,121,1629027,35
2024-25,2024-11-08,22400186,20241108/NOPORL,1610612753,115,1610612740,88,1630532,27
2024-25,2024-11-08,22400187,20241108/BKNBOS,1610612738,108,1610612751,104,1628369,33
2024-25,2024-11-08,22400188,20241108/GSWCLE,1610612739,136,1610612744,117,1629636,27
2024-25,2024-11-08,22400189,20241108/MILNYK,1610612752,116,1610612749,94,1626157,32
2024-25,2024-11-08,22400190,20241108/PHXDAL,1610612742,113,1610612756,114,1629029,30
2024-25,2024-11-08,22400191,20241108/WASMEM,1610612763,128,1610612764,104,1628991,39
2024-25,2024-11-08,22400192,20241108/HOUOKC,1610612760,126,1610612745,107,1628983,29
2024-25,2024-11-08,22400193,20241108/PORMIN,1610612750,127,1610612757,102,1630162,37
2024-25,2024-11-08,22400194,20241108/MIADEN,1610612743,135,1610612748,122,203999,30
2024-25,2024-11-08,22400195,20241108/PHILAL,1610612747,116,1610612755,106,203076,31
2024-25,2024-11-08,22400196,20241108/LACSAC,1610612758,98,1610612746,107,1626181,31
2024-25,2024-11-09,22400197,20241109/UTASAS,1610612759,110,1610612762,111,1641705,24
2024-25,2024-11-09,22400198,20241109/CHIATL,1610612737,113,1610612741,125,203991,20
2024-25,2024-11-09,22400199,20241109/BKNCLE,1610612739,105,1610612751,100,1629661,23
2024-25,2024-11-09,22400200,20241109/TORLAC,1610612746,105,1610612761,103,201935,24
2024-25,2024-11-10,22400201,20241110/HOUDET,1610612765,99,1610612745,101,1630578,27
2024-25,2024-11-10,22400202,20241110/BOSMIL,1610612749,107,1610612738,113,203507,43
2024-25,2024-11-10,22400203,20241110/NYKIND,1610612754,132,1610612752,121,1631097,38
2024-25,2024-11-10,22400204,20241110/WASORL,1610612753,121,1610612764,94,1629673,24
2024-25,2024-11-10,22400205,20241110/CHAPHI,1610612755,107,1610612766,105,1630163,38
2024-25,2024-11-10,22400206,20241110/MIAMIN,1610612750,94,1610612748,95,1629639,26
2024-25,2024-11-10,22400207,20241110/GSWOKC,1610612760,116,1610612744,127,201939,36
2024-25,2024-11-10,22400208,20241110/DALDEN,1610612743,122,1610612742,120,202681,43
2024-25,2024-11-10,22400209,20241110/SACPHX,1610612756,118,1610612758,127,201942,34
2024-25,2024-11-10,22400210,20241110/MEMPOR,1610612757,89,1610612763,134,203924,20
2024-25,2024-11-10,22400211,20241110/TORLAL,1610612747,123,1610612761,103,1630559,27
2024-25,2024-11-11,22400212,20241111/CLECHI,1610612741,113,1610612739,119,1628378,36
2024-25,2024-11-11,22400213,20241111/WASHOU,1610612745,107,1610612764,92,1630578,27
2024-25,2024-11-11,22400214,20241111/BKNNOP,1610612740,105,1610612751,107,1627742,24
2024-25,2024-11-11,22400215,20241111/LACOKC,1610612760,134,1610612746,128,1628983,45
2024-25,2024-11-11,22400216,20241111/SACSAS,1610612759,116,1610612758,96,1641705,34
2024-25,2024-11-12,22400001,20241112/ATLBOS,1610612738,116,1610612737,117,1627759,37
2024-25,2024-11-12,22400002,20241112/MIADET,1610612765,123,1610612748,121,1629639,40
2024-25,2024-11-12,22400003,20241112/CHAORL,1610612753,114,1610612766,89,1630163,35
2024-25,2024-11-12,22400004,20241112/NYKPHI,1610612755,99,1610612752,111,202331,29
2024-25,2024-11-12,22400005,20241112/TORMIL,1610612749,99,1610612761,85,1641711,32
2024-25,2024-11-12,22400006,20241112/PHXUTA,1610612762,112,1610612756,120,1626164,31
2024-25,2024-11-12,22400007,20241112/DALGSW,1610612744,120,1610612742,117,201939,37
2024-25,2024-11-12,22400008,20241112/MINPOR,1610612757,122,1610612750,108,1629675,28
2024-25,2024-11-13,22400217,20241113/INDORL,1610612753,94,1610612754,90,1630532,29
2024-25,2024-11-13,22400218,20241113/BOSBKN,1610612751,114,1610612738,139,1628369,36
2024-25,2024-11-13,22400219,20241113/CHINYK,1610612752,123,1610612741,124,1626157,46
2024-25,2024-11-13,22400220,20241113/CLEPHI,1610612755,106,1610612739,114,1642272,34
2024-25,2024-11-13,22400221,20241113/NOPOKC,1610612760,106,1610612740,88,1631114,31
2024-25,2024-11-13,22400222,20241113/LACHOU,1610612745,111,1610612746,103,1630224,21
2024-25,2024-11-13,22400223,20241113/DETMIL,1610612749,127,1610612765,120,203507,59
2024-25,2024-11-13,22400224,20241113/WASSAS,1610612759,139,1610612764,130,1641705,50
2024-25,2024-11-13,22400225,20241113/MEMLAL,1610612747,128,1610612763,123,2544,35
2024-25,2024-11-13,22400226,20241113/MINPOR,1610612757,106,1610612750,98,1631101,33
