GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0022400945,1610612766,CHA,Charlotte,1630182,Josh Green,Josh,F,,30.000000:02,0.8,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0022400945,1610612766,CHA,Charlotte,1628970,Miles Bridges,Miles,F,,36.000000:37,0.579,0.421,0.387,0.0,0.484,0.032,0.129,0.097,0.387,0.667,0.333,1.0,0.0,0.818,0.182
0022400945,1610612766,CHA,Charlotte,1631109,Mark Williams,Mark,C,,25.000000:32,1.0,0.0,0.857,0.0,0.0,0.0,0.143,0.143,0.857,0.667,0.333,0.0,0.0,0.667,0.333
0022400945,1610612766,CHA,Charlotte,1629610,DaQuan Jeffries,DaQuan,G,,31.000000:45,0.4,0.6,0.4,0.0,0.6,0.0,0.0,0.0,0.4,0.75,0.25,1.0,0.0,0.875,0.125
0022400945,1610612766,CHA,Charlotte,1630163,LaMelo Ball,LaMelo,G,,30.000000:24,0.476,0.524,0.24,0.08,0.36,0.2,0.4,0.16,0.16,0.333,0.667,1.0,0.0,0.667,0.333
0022400945,1610612766,CHA,Charlotte,1630585,Marcus Garrett,Marcus,,,19.000000:07,0.833,0.167,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0022400945,1610612766,CHA,Charlotte,203994,Jusuf Nurkić,Jusuf,,,10.000000:54,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0022400945,1610612766,CHA,Charlotte,1641733,Nick Smith Jr.,Nick,,,19.000000:05,0.429,0.571,0.571,0.0,0.429,0.0,0.0,0.0,0.571,1.0,0.0,1.0,0.0,1.0,0.0
0022400945,1610612766,CHA,Charlotte,203552,Seth Curry,Seth,,,10.000000:47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400945,1610612766,CHA,Charlotte,1631111,Wendell Moore Jr.,Wendell,,,14.000000:13,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
