GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022400945,1610612766,CHA,Charlotte,1630182,Josh Green,Josh,F,,30:02,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,3.0,2.0,-6.0
0022400945,1610612766,CHA,Charlotte,1628970,Miles Bridges,Miles,F,,36:37,11.0,19.0,0.579,5.0,8.0,0.625,4.0,6.0,0.667,0.0,11.0,11.0,5.0,2.0,4.0,3.0,0.0,31.0,-6.0
0022400945,1610612766,CHA,Charlotte,1631109,Mark Williams,Mark,C,,25:32,6.0,9.0,0.667,0.0,0.0,0.0,2.0,2.0,1.0,3.0,11.0,14.0,2.0,1.0,2.0,3.0,3.0,14.0,-12.0
0022400945,1610612766,CHA,Charlotte,1629610,DaQuan Jeffries,DaQuan,G,,31:45,8.0,15.0,0.533,4.0,9.0,0.444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,20.0,-8.0
0022400945,1610612766,CHA,Charlotte,1630163,LaMelo Ball,LaMelo,G,,30:24,6.0,21.0,0.286,3.0,11.0,0.273,10.0,10.0,1.0,2.0,0.0,2.0,9.0,2.0,1.0,3.0,3.0,25.0,-6.0
0022400945,1610612766,CHA,Charlotte,1630585,Marcus Garrett,Marcus,,,19:07,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,3.0,4.0,-8.0
0022400945,1610612766,CHA,Charlotte,203994,Jusuf Nurkić,Jusuf,,,10:54,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,-4.0
0022400945,1610612766,CHA,Charlotte,1641733,Nick Smith Jr.,Nick,,,19:05,3.0,7.0,0.429,1.0,4.0,0.25,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,7.0,-10.0
0022400945,1610612766,CHA,Charlotte,203552,Seth Curry,Seth,,,10:47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-5.0
0022400945,1610612766,CHA,Charlotte,1631111,Wendell Moore Jr.,Wendell,,,14:13,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,-3.0
0022400945,1610612766,CHA,Charlotte,1631217,Moussa Diabaté,Moussa,,,11:34,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0
0022400945,1610612766,CHA,Charlotte,201959,Taj Gibson,Taj,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022400945,1610612737,ATL,Atlanta,1642258,Zaccharie Risacher,Zaccharie,F,,20:39,3.0,7.0,0.429,2.0,5.0,0.4,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,8.0,10.0
0022400945,1610612737,ATL,Atlanta,1631243,Mouhamed Gueye,Mouhamed,F,,14:27,2.0,3.0,0.667,1.0,2.0,0.5,1.0,2.0,0.5,1.0,2.0,3.0,1.0,2.0,2.0,0.0,1.0,6.0,7.0
0022400945,1610612737,ATL,Atlanta,1630168,Onyeka Okongwu,Onyeka,C,,30:30,3.0,12.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,7.0,3.0,10.0,1.0,0.0,0.0,0.0,5.0,7.0,9.0
0022400945,1610612737,ATL,Atlanta,1630700,Dyson Daniels,Dyson,G,,34:01,5.0,14.0,0.357,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,4.0,2.0,2.0,1.0,10.0,14.0
0022400945,1610612737,ATL,Atlanta,1629027,Trae Young,Trae,G,,35:29,7.0,20.0,0.35,0.0,5.0,0.0,21.0,21.0,1.0,2.0,5.0,7.0,12.0,1.0,0.0,5.0,1.0,35.0,6.0
0022400945,1610612737,ATL,Atlanta,1627747,Caris LeVert,Caris,,,26:24,5.0,9.0,0.556,4.0,8.0,0.5,1.0,1.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,15.0,12.0
0022400945,1610612737,ATL,Atlanta,1627777,Georges Niang,Georges,,,25:43,3.0,5.0,0.6,2.0,4.0,0.5,4.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,0.0,1.0,2.0,12.0,2.0
0022400945,1610612737,ATL,Atlanta,1631230,Dominick Barlow,Dominick,,,17:30,2.0,6.0,0.333,0.0,1.0,0.0,5.0,6.0,0.833,0.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,9.0,4.0
0022400945,1610612737,ATL,Atlanta,1629611,Terance Mann,Terance,,,20:43,4.0,8.0,0.5,1.0,4.0,0.25,1.0,2.0,0.5,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,10.0,-1.0
0022400945,1610612737,ATL,Atlanta,1630249,Vít Krejčí,Vít,,,14:34,3.0,4.0,0.75,3.0,3.0,1.0,2.0,3.0,0.667,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,11.0,2.0
