GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0022401222,1610612755,PHI,Philadelphia,1627824,Guerschon Yabusele,Guerschon,,,18.000000:20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022401222,1610612755,PHI,Philadelphia,1641741,Ricky Council IV,Ricky,,,8.000000:36,0.5,0.5,0.333,0.0,0.0,0.333,0.667,0.333,0.333,0.0,1.0,0.0,0.0,0.0,1.0
0022401222,1610612755,PHI,Philadelphia,201569,Eric Gordon,Eric,,,26.000000:09,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0022401222,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,Jeff,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022401222,1610612755,PHI,Philadelphia,1642348,Justin Edwards,Justin,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022401222,1610612755,PHI,Philadelphia,202704,Reggie Jackson,Reggie,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022401222,1610612755,PHI,Philadelphia,1631250,Pete Nance,Pete,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022401222,1610612766,CHA,Charlotte,1630182,Josh Green,Josh,F,,29.000000:49,0.25,0.75,0.4,0.0,0.6,0.5,0.0,0.7,0.4,0.0,1.0,1.0,0.0,0.5,0.5
0022401222,1610612766,CHA,Charlotte,1628970,Miles Bridges,Miles,F,,28.000000:14,0.579,0.421,0.667,0.0,0.25,0.208,0.083,0.083,0.667,0.625,0.375,1.0,0.0,0.7,0.3
0022401222,1610612766,CHA,Charlotte,1631109,Mark Williams,Mark,C,,17.000000:04,1.0,0.0,0.857,0.0,0.0,0.143,0.143,0.429,0.857,1.0,0.0,0.0,0.0,1.0,0.0
0022401222,1610612766,CHA,Charlotte,1641706,Brandon Miller,Brandon,G,,31.000000:12,0.222,0.778,0.333,0.0,0.5,0.0,0.167,0.0,0.333,0.0,1.0,1.0,0.0,0.5,0.5
0022401222,1610612766,CHA,Charlotte,1630163,LaMelo Ball,LaMelo,G,,25.000000:50,0.467,0.533,0.267,0.0,0.6,0.0,0.133,0.067,0.267,0.5,0.5,1.0,0.0,0.8,0.2
0022401222,1610612766,CHA,Charlotte,203995,Vasilije Micić,Vasilije,,,16.000000:07,0.667,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022401222,1610612766,CHA,Charlotte,1630208,Nick Richards,Nick,,,15.000000:14,1.0,0.0,0.737,0.0,0.0,0.105,0.263,0.0,0.737,1.0,0.0,0.0,0.0,1.0,0.0
0022401222,1610612766,CHA,Charlotte,1628998,Cody Martin,Cody,,,28.000000:59,0.286,0.714,0.4,0.0,0.6,0.0,0.0,0.7,0.4,0.0,1.0,1.0,0.0,0.5,0.5
0022401222,1610612766,CHA,Charlotte,1642275,Tidjane Salaün,Tidjane,,,18.000000:16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022401222,1610612766,CHA,Charlotte,1631217,Moussa Diabaté,Moussa,,,15.000000:42,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5
0022401222,1610612766,CHA,Charlotte,1631209,Isaiah Wong,Isaiah,,,13.000000:33,0.75,0.25,0.571,0.0,0.429,0.0,0.0,0.429,0.571,1.0,0.0,0.0,1.0,0.667,0.333
0022401222,1610612766,CHA,Charlotte,203552,Seth Curry,Seth,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022401222,1610612766,CHA,Charlotte,201959,Taj Gibson,Taj,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022401222,1610612766,CHA,Charlotte,1629610,DaQuan Jeffries,DaQuan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022400010,1610612755,PHI,Philadelphia,202331,Paul George,Paul,F,,35.000000:35,0.4,0.6,0.154,0.154,0.692,0.0,0.154,0.385,0.0,0.0,1.0,0.667,0.333,0.5,0.5
0022400010,1610612755,PHI,Philadelphia,1628997,Caleb Martin,Caleb,F,,33.000000:26,0.667,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0022400010,1610612755,PHI,Philadelphia,203954,Joel Embiid,Joel,C,,32.000000:44,0.667,0.333,0.5,0.2,0.0,0.1,0.5,0.2,0.3,0.4,0.6,0.0,0.0,0.4,0.6
0022400010,1610612755,PHI,Philadelphia,1642272,Jared McCain,Jared,G,,31.000000:21,0.412,0.588,0.345,0.0,0.517,0.276,0.138,0.172,0.345,0.2,0.8,0.8,0.2,0.5,0.5
0022400010,1610612755,PHI,Philadelphia,200768,Kyle Lowry,Kyle,G,,28.000000:28,0.8,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0022400010,1610612755,PHI,Philadelphia,1626162,Kelly Oubre Jr.,Kelly,,,25.000000:32,0.5,0.5,0.4,0.0,0.6,0.6,0.0,0.0,0.4,1.0,0.0,1.0,0.0,1.0,0.0
0022400010,1610612755,PHI,Philadelphia,1627824,Guerschon Yabusele,Guerschon,,,24.000000:25,0.75,0.25,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0022400010,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,Jeff,,,5.000000:08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400010,1610612755,PHI,Philadelphia,201569,Eric Gordon,Eric,,,15.000000:53,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0022400010,1610612755,PHI,Philadelphia,203083,Andre Drummond,Andre,,,3.000000:49,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0022400010,1610612755,PHI,Philadelphia,1630231,KJ Martin,KJ,,,1.000000:13,1.0,0.0,0.667,0.0,0.0,0.667,0.333,0.333,0.667,1.0,0.0,0.0,0.0,1.0,0.0
0022400010,1610612755,PHI,Philadelphia,1641741,Ricky Council IV,Ricky,,,1.000000:13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400010,1610612755,PHI,Philadelphia,1641737,Adem Bona,Adem,,,1.000000:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400010,1610612755,PHI,Philadelphia,202704,Reggie Jackson,Reggie,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022400010,1610612753,ORL,Orlando,1641783,Tristan da Silva,Tristan,F,,18.000000:24,0.4,0.6,0.667,0.0,0.0,0.333,0.333,0.333,0.667,1.0,0.0,0.0,0.0,1.0,0.0
0022400010,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,,40.000000:43,0.522,0.478,0.323,0.065,0.484,0.129,0.194,0.065,0.258,0.2,0.8,0.4,0.6,0.3,0.7
0022400010,1610612753,ORL,Orlando,1629048,Goga Bitadze,Goga,C,,26.000000:54,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0022400010,1610612753,ORL,Orlando,203484,Kentavious Caldwell-Pope,Kentavious,G,,33.000000:25,0.333,0.667,0.25,0.0,0.75,0.0,0.0,0.75,0.25,1.0,0.0,1.0,0.0,1.0,0.0
0022400010,1610612753,ORL,Orlando,1630591,Jalen Suggs,Jalen,G,,34.000000:29,0.5,0.5,0.526,0.105,0.158,0.105,0.316,0.316,0.421,0.0,1.0,1.0,0.0,0.167,0.833
0022400010,1610612753,ORL,Orlando,1641710,Anthony Black,Anthony,,,19.000000:40,0.833,0.167,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0022400010,1610612753,ORL,Orlando,1628371,Jonathan Isaac,Jonathan,,,24.000000:54,0.5,0.5,0.545,0.182,0.273,0.182,0.182,0.364,0.364,0.333,0.667,1.0,0.0,0.5,0.5
0022400010,1610612753,ORL,Orlando,203914,Gary Harris,Gary,,,13.000000:40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400010,1610612753,ORL,Orlando,1629021,Moritz Wagner,Moritz,,,19.000000:53,0.714,0.286,0.571,0.0,0.214,0.143,0.214,0.143,0.571,0.5,0.5,1.0,0.0,0.6,0.4
0022400010,1610612753,ORL,Orlando,1630175,Cole Anthony,Cole,,,4.000000:19,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400010,1610612753,ORL,Orlando,1631216,Caleb Houstan,Caleb,,,1.000000:13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400010,1610612753,ORL,Orlando,1641724,Jett Howard,Jett,,,1.000000:13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0022400010,1610612753,ORL,Orlando,202709,Cory Joseph,Cory,,,1.000000:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400627,1610612764,WAS,Washington,1642267,Bub Carrington,Bub,F,,22.000000:35,0.6,0.4,1.0,0.667,0.0,0.0,0.0,0.333,0.333,0.667,0.333,0.0,0.0,0.667,0.333
0022400627,1610612764,WAS,Washington,1641774,Tristan Vukcevic,Tristan,F,,20.000000:58,0.636,0.364,0.824,0.0,0.176,0.235,0.0,0.118,0.824,1.0,0.0,1.0,0.0,1.0,0.0
0022400627,1610612764,WAS,Washington,1642259,Alex Sarr,Alex,C,,23.000000:12,0.429,0.571,0.273,0.0,0.545,0.091,0.182,0.136,0.273,0.667,0.333,0.75,0.25,0.714,0.286
0022400627,1610612764,WAS,Washington,1642358,AJ Johnson,AJ,G,,28.000000:25,0.5,0.5,0.667,0.0,0.25,0.167,0.083,0.417,0.667,0.5,0.5,0.0,1.0,0.4,0.6
0022400627,1610612764,WAS,Washington,1629673,Jordan Poole,Jordan,G,,19.000000:35,0.182,0.818,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0022400627,1610612764,WAS,Washington,1630550,JT Thor,JT,,,30.000000:25,0.625,0.375,0.75,0.0,0.0,0.0,0.25,0.0,0.75,0.667,0.333,0.0,0.0,0.667,0.333
0022400627,1610612764,WAS,Washington,1641798,Jaylen Martin,Jaylen,,,31.000000:21,0.727,0.273,0.545,0.0,0.273,0.0,0.182,0.182,0.545,0.667,0.333,1.0,0.0,0.75,0.25
0022400627,1610612764,WAS,Washington,1641732,Colby Jones,Colby,,,26.000000:18,0.636,0.364,0.417,0.0,0.5,0.292,0.083,0.667,0.417,0.4,0.6,1.0,0.0,0.667,0.333
0022400627,1610612764,WAS,Washington,1630264,Anthony Gill,Anthony,,,23.000000:32,0.5,0.5,0.4,0.0,0.3,0.0,0.3,0.0,0.4,0.5,0.5,1.0,0.0,0.667,0.333
0022400627,1610612764,WAS,Washington,203935,Marcus Smart,Marcus,,,13.000000:39,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400627,1610612764,WAS,Washington,1630551,Justin Champagnie,Justin,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022400627,1610612764,WAS,Washington,1626158,Richaun Holmes,Richaun,,DNP - Coach's Decision,,,,,,,,,,,,,,,,
0022400627,1610612762,UTA,Utah,1642262,Cody Williams,Cody,F,,28.000000:16,0.286,0.714,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0022400627,1610612762,UTA,Utah,1642271,Kyle Filipowski,Kyle,F,,21.000000:26,0.455,0.545,0.381,0.0,0.571,0.095,0.048,0.0,0.381,0.5,0.5,1.0,0.0,0.75,0.25
0022400627,1610612762,UTA,Utah,1631117,Walker Kessler,Walker,C,,15.000000:15,0.25,0.75,0.571,0.0,0.429,0.286,0.0,0.286,0.571,0.5,0.5,1.0,0.0,0.667,0.333
0022400627,1610612762,UTA,Utah,1629012,Collin Sexton,Collin,G,,19.000000:01,0.75,0.25,0.556,0.111,0.333,0.0,0.111,0.0,0.444,0.0,1.0,1.0,0.0,0.286,0.714
0022400627,1610612762,UTA,Utah,1642268,Isaiah Collier,Isaiah,G,,27.000000:44,0.7,0.3,0.625,0.0,0.375,0.375,0.0,0.5,0.625,0.4,0.6,1.0,0.0,0.571,0.429
0022400627,1610612762,UTA,Utah,1631131,Oscar Tshiebwe,Oscar,,,18.000000:29,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0
0022400627,1610612762,UTA,Utah,1630695,Micah Potter,Micah,,,15.000000:25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022400627,1610612762,UTA,Utah,1641718,Keyonte George,Keyonte,,,29.000000:09,0.583,0.417,0.4,0.0,0.45,0.0,0.15,0.15,0.4,0.75,0.25,0.333,0.667,0.571,0.429
