GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0022401222,1610612755,PHI,Philadelphia,202331,Paul George,Paul,F,,39.000000:47,123.0,125.3,111.4,112.0,11.6,13.3,0.364,2.0,25.0,0.0,0.132,0.071,12.5,0.8,0.79,0.255,0.259,101.37,100.14,83.45,83,0.198
0022401222,1610612755,PHI,Philadelphia,1630231,KJ Martin,KJ,F,,21.000000:22,104.7,108.7,106.9,106.5,-2.2,2.2,0.0,0.0,0.0,0.0,0.091,0.047,50.0,0.5,0.5,0.075,0.077,105.16,103.36,86.14,46,-0.032
0022401222,1610612755,PHI,Philadelphia,203083,Andre Drummond,Andre,C,,28.000000:14,117.3,120.0,107.3,106.8,10.0,13.2,0.042,0.25,8.3,0.125,0.414,0.283,33.3,0.571,0.605,0.162,0.163,102.11,101.16,84.3,60,0.13
0022401222,1610612755,PHI,Philadelphia,1626162,Kelly Oubre Jr.,Kelly,G,,39.000000:46,125.9,129.1,105.2,105.7,20.7,23.3,0.133,1.0,18.2,0.091,0.133,0.115,18.2,0.682,0.696,0.189,0.191,106.03,104.41,87.01,86,0.121
0022401222,1610612755,PHI,Philadelphia,1630178,Tyrese Maxey,Tyrese,G,,39.000000:57,120.0,121.6,99.5,101.1,20.5,20.5,0.217,1.25,11.6,0.029,0.091,0.064,9.3,0.536,0.593,0.396,0.399,107.34,105.73,88.11,88,0.161
0022401222,1610612755,PHI,Philadelphia,200768,Kyle Lowry,Kyle,,,17.000000:49,113.4,110.5,118.6,113.5,-5.3,-3.0,0.091,0.0,25.0,0.063,0.0,0.032,0.0,0.0,0.543,0.067,0.073,97.58,101.03,84.19,38,0.017
0022401222,1610612755,PHI,Philadelphia,1627824,Guerschon Yabusele,Guerschon,,,18.000000:20,107.1,107.9,93.8,92.7,13.3,15.2,0.077,0.0,33.3,0.0,0.176,0.086,0.0,0.0,0.0,0.048,0.048,103.13,103.39,86.16,38,0.0
0022401222,1610612755,PHI,Philadelphia,1641741,Ricky Council IV,Ricky,,,8.000000:36,106.9,105.0,77.5,80.0,29.4,25.0,0.0,0.0,0.0,0.091,0.0,0.05,14.3,0.25,0.521,0.304,0.323,112.41,111.63,93.02,20,0.088
0022401222,1610612755,PHI,Philadelphia,201569,Eric Gordon,Eric,,,26.000000:09,103.8,103.6,106.1,103.6,-2.4,0.1,0.067,1.0,14.3,0.0,0.048,0.021,14.3,0.9,0.9,0.095,0.098,100.55,101.87,84.89,55,0.089
0022401222,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,Jeff,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022401222,1610612755,PHI,Philadelphia,1642348,Justin Edwards,Justin,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022401222,1610612755,PHI,Philadelphia,202704,Reggie Jackson,Reggie,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022401222,1610612755,PHI,Philadelphia,1631250,Pete Nance,Pete,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022401222,1610612766,CHA,Charlotte,1630182,Josh Green,Josh,F,,29.000000:49,101.8,98.5,116.7,117.2,-14.9,-18.7,0.0,0.0,0.0,0.032,0.045,0.038,11.1,0.625,0.592,0.125,0.131,102.29,103.83,86.53,65,0.05
0022401222,1610612766,CHA,Charlotte,1628970,Miles Bridges,Miles,F,,28.000000:14,120.0,117.7,112.3,112.7,7.7,5.0,0.211,1.33,14.8,0.033,0.208,0.111,11.1,0.579,0.591,0.338,0.344,105.49,106.27,88.56,62,0.15
0022401222,1610612766,CHA,Charlotte,1631109,Mark Williams,Mark,C,,17.000000:04,97.4,100.0,119.9,127.0,-22.5,-27.0,0.3,3.0,30.0,0.05,0.125,0.083,10.0,0.6,0.595,0.189,0.184,107.08,102.64,85.53,36,0.092
0022401222,1610612766,CHA,Charlotte,1641706,Brandon Miller,Brandon,G,,31.000000:12,114.1,116.9,116.2,119.7,-2.1,-2.8,0.16,2.0,25.0,0.0,0.148,0.07,12.5,0.556,0.581,0.171,0.17,103.51,100.77,83.97,65,0.073
0022401222,1610612766,CHA,Charlotte,1630163,LaMelo Ball,LaMelo,G,,25.000000:50,112.0,113.1,130.9,129.5,-18.9,-16.4,0.524,3.67,35.5,0.0,0.208,0.094,9.7,0.433,0.447,0.299,0.3,113.32,113.36,94.46,61,0.122
0022401222,1610612766,CHA,Charlotte,203995,Vasilije Micić,Vasilije,,,16.000000:07,76.6,75.8,110.8,118.2,-34.2,-42.4,0.5,1.67,45.5,0.0,0.067,0.033,27.3,0.0,0.0,0.167,0.173,101.02,98.28,81.9,33,-0.019
0022401222,1610612766,CHA,Charlotte,1630208,Nick Richards,Nick,,,15.000000:14,95.6,94.3,116.4,111.8,-20.8,-17.5,0.0,0.0,0.0,0.067,0.25,0.161,20.0,0.778,0.816,0.385,0.411,105.81,108.71,90.59,35,0.258
0022401222,1610612766,CHA,Charlotte,1628998,Cody Martin,Cody,,,28.000000:59,98.1,96.8,110.3,111.1,-12.2,-14.3,0.1,2.0,20.0,0.034,0.138,0.086,10.0,0.714,0.714,0.11,0.116,104.0,104.34,86.95,63,0.099
0022401222,1610612766,CHA,Charlotte,1642275,Tidjane Salaün,Tidjane,,,18.000000:16,86.6,87.5,120.5,118.9,-33.8,-31.4,0.077,1.0,20.0,0.0,0.105,0.054,20.0,0.0,0.0,0.087,0.092,101.04,101.15,84.29,40,-0.036
0022401222,1610612766,CHA,Charlotte,1631217,Moussa Diabaté,Moussa,,,15.000000:42,122.8,121.9,111.2,109.1,11.5,12.8,0.0,0.0,0.0,0.154,0.091,0.125,33.3,1.0,1.0,0.077,0.079,98.04,99.38,82.82,32,0.052
0022401222,1610612766,CHA,Charlotte,1631209,Isaiah Wong,Isaiah,,,13.000000:33,112.1,111.5,104.5,103.8,7.6,7.7,0.0,0.0,0.0,0.2,0.0,0.091,20.0,0.875,0.875,0.161,0.173,91.58,92.08,76.73,26,0.094
0022401222,1610612766,CHA,Charlotte,203552,Seth Curry,Seth,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022401222,1610612766,CHA,Charlotte,201959,Taj Gibson,Taj,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022401222,1610612766,CHA,Charlotte,1629610,DaQuan Jeffries,DaQuan,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022400010,1610612755,PHI,Philadelphia,202331,Paul George,Paul,F,,35.000000:35,95.0,95.7,113.2,114.9,-18.2,-19.3,0.313,1.67,20.8,0.029,0.103,0.063,12.5,0.367,0.398,0.244,0.252,92.75,91.73,76.44,69,0.077
0022400010,1610612755,PHI,Philadelphia,1628997,Caleb Martin,Caleb,F,,33.000000:26,93.5,93.9,112.4,110.9,-18.9,-17.0,0.053,0.25,12.5,0.03,0.148,0.083,50.0,0.5,0.5,0.093,0.097,92.92,93.32,77.77,66,-0.014
0022400010,1610612755,PHI,Philadelphia,203954,Joel Embiid,Joel,C,,32.000000:44,90.2,86.6,101.5,103.1,-11.2,-16.5,0.133,0.33,7.4,0.034,0.233,0.136,22.2,0.333,0.515,0.352,0.372,95.55,96.78,80.65,67,0.142
0022400010,1610612755,PHI,Philadelphia,1642272,Jared McCain,Jared,G,,31.000000:21,109.4,109.7,87.1,88.7,22.3,21.0,0.308,0.0,17.4,0.038,0.0,0.018,0.0,0.735,0.773,0.275,0.283,95.93,94.92,79.1,62,0.228
0022400010,1610612755,PHI,Philadelphia,200768,Kyle Lowry,Kyle,G,,28.000000:28,82.2,80.7,108.2,113.0,-26.0,-32.3,0.231,0.0,37.5,0.0,0.0,0.0,0.0,0.4,0.4,0.077,0.082,94.73,93.58,77.99,57,0.086
0022400010,1610612755,PHI,Philadelphia,1626162,Kelly Oubre Jr.,Kelly,,,25.000000:32,92.1,87.2,112.2,117.0,-20.1,-29.8,0.0,0.0,0.0,0.05,0.125,0.091,20.0,0.625,0.625,0.1,0.107,87.93,88.34,73.62,47,0.034
0022400010,1610612755,PHI,Philadelphia,1627824,Guerschon Yabusele,Guerschon,,,24.000000:25,95.8,87.5,111.6,117.0,-15.8,-29.5,0.077,0.0,20.0,0.0,0.08,0.045,0.0,0.5,0.5,0.08,0.089,91.53,93.38,77.82,48,0.032
0022400010,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,Jeff,,,5.000000:08,71.4,66.7,100.0,90.9,-28.6,-24.2,0.333,0.0,50.0,0.0,0.25,0.091,0.0,0.0,0.568,0.077,0.089,99.25,107.67,89.73,12,0.065
0022400010,1610612755,PHI,Philadelphia,201569,Eric Gordon,Eric,,,15.000000:53,78.8,76.7,92.5,93.3,-13.7,-16.7,0.125,1.0,16.7,0.0,0.1,0.061,16.7,0.25,0.25,0.156,0.171,89.88,90.66,75.55,30,0.048
0022400010,1610612755,PHI,Philadelphia,203083,Andre Drummond,Andre,,,3.000000:49,50.0,57.1,33.3,33.3,16.7,23.8,0.0,0.0,0.0,0.167,0.8,0.455,25.0,0.333,0.333,0.364,0.4,88.03,81.75,68.12,7,3.5
0022400010,1610612755,PHI,Philadelphia,1630231,KJ Martin,KJ,,,1.000000:13,106.4,80.0,75.0,75.0,31.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.798,0.4,0.532,153.07,177.53,147.95,5,0.364
0022400010,1610612755,PHI,Philadelphia,1641741,Ricky Council IV,Ricky,,,1.000000:13,106.4,80.0,75.0,75.0,31.4,5.0,1.0,0.0,50.0,0.0,0.5,0.25,0.0,0.0,0.0,0.2,0.266,153.07,177.53,147.95,5,0.182
0022400010,1610612755,PHI,Philadelphia,1641737,Adem Bona,Adem,,,1.000000:13,106.4,80.0,75.0,75.0,31.4,5.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,153.07,177.53,147.95,5,0.182
0022400010,1610612755,PHI,Philadelphia,202704,Reggie Jackson,Reggie,,DNP - Coach's Decision,,,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,,,,0,
0022400010,1610612753,ORL,Orlando,1641783,Tristan da Silva,Tristan,F,,18.000000:24,95.5,97.4,121.8,117.5,-26.3,-20.1,0.0,0.0,0.0,0.0,0.167,0.083,0.0,0.4,0.51,0.136,0.137,100.9,101.74,84.78,38,0.086
0022400010,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,,40.000000:43,114.4,115.4,90.6,92.3,23.8,23.1,0.286,0.0,18.8,0.029,0.256,0.151,0.0,0.543,0.605,0.289,0.297,93.21,91.94,76.62,78,0.273
0022400010,1610612753,ORL,Orlando,1629048,Goga Bitadze,Goga,C,,26.000000:54,99.0,98.1,97.5,100.0,1.5,-1.9,0.056,0.2,14.3,0.048,0.103,0.08,71.4,1.0,1.0,0.103,0.106,95.39,94.57,78.81,52,0.018
0022400010,1610612753,ORL,Orlando,203484,Kentavious Caldwell-Pope,Kentavious,G,,33.000000:25,113.8,115.9,100.6,100.0,13.2,15.9,0.043,0.5,8.3,0.0,0.033,0.017,16.7,0.444,0.444,0.151,0.152,92.48,91.93,76.61,63,0.018
0022400010,1610612753,ORL,Orlando,1630591,Jalen Suggs,Jalen,G,,34.000000:29,105.7,104.3,95.5,94.2,10.2,10.1,0.158,0.6,11.1,0.094,0.138,0.115,18.5,0.406,0.51,0.293,0.308,95.42,96.76,80.63,70,0.097
0022400010,1610612753,ORL,Orlando,1641710,Anthony Black,Anthony,,,19.000000:40,93.2,94.3,82.6,82.4,10.6,11.9,0.111,0.5,11.1,0.0,0.056,0.027,22.2,0.333,0.333,0.19,0.203,84.55,84.2,70.17,35,0.0
0022400010,1610612753,ORL,Orlando,1628371,Jonathan Isaac,Jonathan,,,24.000000:54,108.0,110.6,67.1,64.6,40.9,46.1,0.0,0.0,0.0,0.167,0.217,0.191,11.1,0.75,0.709,0.161,0.166,90.96,91.58,76.32,47,0.195
0022400010,1610612753,ORL,Orlando,203914,Gary Harris,Gary,,,13.000000:40,90.8,96.2,68.3,60.7,22.5,35.4,0.0,0.0,0.0,0.067,0.0,0.036,0.0,0.0,0.0,0.032,0.033,92.0,94.81,79.01,26,-0.019
0022400010,1610612753,ORL,Orlando,1629021,Moritz Wagner,Moritz,,,19.000000:53,112.4,118.9,82.2,73.7,30.2,45.2,0.222,2.0,16.7,0.045,0.214,0.111,8.3,0.786,0.799,0.217,0.221,88.4,90.53,75.44,37,0.327
0022400010,1610612753,ORL,Orlando,1630175,Cole Anthony,Cole,,,4.000000:19,33.3,30.0,112.7,110.0,-79.4,-80.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.3,0.333,104.3,111.2,92.66,10,-0.421
0022400010,1610612753,ORL,Orlando,1631216,Caleb Houstan,Caleb,,,1.000000:13,75.0,75.0,106.4,80.0,-31.4,-5.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25,0.25,153.07,177.53,147.95,4,0.0
0022400010,1610612753,ORL,Orlando,1641724,Jett Howard,Jett,,,1.000000:13,75.0,75.0,106.4,80.0,-31.4,-5.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,1.5,1.5,0.25,0.25,153.07,177.53,147.95,4,0.636
0022400010,1610612753,ORL,Orlando,202709,Cory Joseph,Cory,,,1.000000:13,75.0,75.0,106.4,80.0,-31.4,-5.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.07,177.53,147.95,4,0.0
0022400627,1610612764,WAS,Washington,1642267,Bub Carrington,Bub,F,,22.000000:35,119.6,113.5,125.0,128.0,-5.4,-14.5,0.182,4.0,40.0,0.0,0.227,0.102,10.0,0.6,0.6,0.097,0.103,106.83,108.4,90.33,52,0.103
