GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
0022401222,1610612755,PHI,Philadelphia,1630178,Tyrese Maxey,Tyrese,G,,39.000000:57,0.399,0.343,0.424,0.429,0.4,0.435,0.433,0.167,0.129,0.135,0.278,0.25,0.308,0.0,0.571,0.176,0.333,0.374
0022401222,1610612755,PHI,Philadelphia,200768,Kyle Lowry,Kyle,,,17.000000:49,0.073,0.0,0.04,0.0,0.059,0.231,0.25,0.25,0.0,0.091,0.167,0.0,0.25,0.333,0.0,0.3,0.231,0.071
0022401222,1610612755,PHI,Philadelphia,1627824,Guerschon Yabusele,Guerschon,,,18.000000:20,0.048,0.0,0.067,0.0,0.133,0.0,0.0,0.0,0.3,0.231,0.143,0.0,0.0,0.0,0.0,0.25,0.1,0.0
0022401222,1610612755,PHI,Philadelphia,1641741,Ricky Council IV,Ricky,,,8.000000:36,0.323,0.143,0.235,0.0,0.2,1.0,0.667,0.5,0.0,0.143,0.0,0.5,0.333,0.0,0.667,0.25,0.5,0.286
0022401222,1610612755,PHI,Philadelphia,201569,Eric Gordon,Eric,,,26.000000:09,0.098,0.167,0.119,0.5,0.278,0.0,0.0,0.0,0.071,0.05,0.111,0.091,0.1,0.0,0.0,0.0,0.067,0.158
0022401222,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,Jeff,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022401222,1610612755,PHI,Philadelphia,1642348,Justin Edwards,Justin,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022401222,1610612755,PHI,Philadelphia,202704,Reggie Jackson,Reggie,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022401222,1610612755,PHI,Philadelphia,1631250,Pete Nance,Pete,,DNP - Coach's Decision,,0.0,,,,,,,,,,,,,,,,,
0022401222,1610612766,CHA,Charlotte,1630182,Josh Green,Josh,F,,29.000000:49,0.131,0.16,0.157,0.25,0.222,0.0,0.091,0.167,0.059,0.087,0.0,0.077,0.5,0.2,0.0,0.2,0.214,0.156
0022401222,1610612766,CHA,Charlotte,1628970,Miles Bridges,Miles,F,,28.000000:14,0.344,0.345,0.358,0.222,0.32,0.333,0.273,0.167,0.278,0.25,0.19,0.333,0.0,0.0,0.0,0.048,0.25,0.329
0022401222,1610612766,CHA,Charlotte,1631109,Mark Williams,Mark,C,,17.000000:04,0.184,0.231,0.167,0.0,0.0,0.2,0.222,1.0,0.2,0.273,0.25,0.25,0.0,0.75,1.0,0.333,0.222,0.194
0022401222,1610612766,CHA,Charlotte,1641706,Brandon Miller,Brandon,G,,31.000000:12,0.17,0.138,0.164,0.222,0.304,0.222,0.2,0.0,0.222,0.182,0.19,0.222,0.0,0.2,0.0,0.154,0.071,0.158
0022401222,1610612766,CHA,Charlotte,1630163,LaMelo Ball,LaMelo,G,,25.000000:50,0.3,0.192,0.3,0.333,0.348,0.25,0.267,0.0,0.313,0.238,0.55,0.3,0.667,0.0,0.5,0.2,0.25,0.217
0022401222,1610612766,CHA,Charlotte,203995,Vasilije Micić,Vasilije,,,16.000000:07,0.173,0.0,0.13,0.0,0.111,0.0,0.0,0.0,0.1,0.083,0.625,0.333,0.0,0.0,0.0,0.143,0.143,0.0
