GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0022400010,1610612755,PHI,Philadelphia,1628997,Caleb Martin,Caleb,F,,33:26,1.0,3.0,0.333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,4.0,4.0,3.0,-9.0
0022400010,1610612755,PHI,Philadelphia,203954,Joel Embiid,Joel,C,,32:44,5.0,15.0,0.333,0.0,5.0,0.0,10.0,10.0,1.0,1.0,7.0,8.0,2.0,1.0,1.0,6.0,2.0,20.0,-9.0
0022400010,1610612755,PHI,Philadelphia,1642272,Jared McCain,Jared,G,,31:21,10.0,17.0,0.588,5.0,10.0,0.5,4.0,4.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,6.0,29.0,13.0
0022400010,1610612755,PHI,Philadelphia,200768,Kyle Lowry,Kyle,G,,28:28,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,-15.0
0022400010,1610612755,PHI,Philadelphia,1626162,Kelly Oubre Jr.,Kelly,,,25:32,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,4.0,5.0,-14.0
0022400010,1610612755,PHI,Philadelphia,1627824,Guerschon Yabusele,Guerschon,,,24:25,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,4.0,-13.0
0022400010,1610612755,PHI,Philadelphia,1630288,Jeff Dowtin Jr.,Jeff,,,5:08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-2.0
0022400010,1610612755,PHI,Philadelphia,201569,Eric Gordon,Eric,,,15:53,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,-5.0
0022400010,1610612755,PHI,Philadelphia,203083,Andre Drummond,Andre,,,3:49,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
0022400010,1610612755,PHI,Philadelphia,1630231,KJ Martin,KJ,,,1:13,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
0022400010,1610612755,PHI,Philadelphia,1641741,Ricky Council IV,Ricky,,,1:13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0022400010,1610612755,PHI,Philadelphia,1641737,Adem Bona,Adem,,,1:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0022400010,1610612755,PHI,Philadelphia,202704,Reggie Jackson,Reggie,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
0022400010,1610612753,ORL,Orlando,1641783,Tristan da Silva,Tristan,F,,18:24,2.0,5.0,0.4,0.0,3.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0,-10.0
0022400010,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,,40:43,10.0,23.0,0.435,5.0,11.0,0.455,6.0,6.0,1.0,1.0,10.0,11.0,6.0,2.0,1.0,0.0,4.0,31.0,18.0
0022400010,1610612753,ORL,Orlando,1629048,Goga Bitadze,Goga,C,,26:54,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,5.0,2.0,2.0,-3.0
0022400010,1610612753,ORL,Orlando,203484,Kentavious Caldwell-Pope,Kentavious,G,,33:25,3.0,9.0,0.333,2.0,6.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,8.0,8.0
0022400010,1610612753,ORL,Orlando,1630591,Jalen Suggs,Jalen,G,,34:29,6.0,16.0,0.375,1.0,8.0,0.125,6.0,6.0,1.0,3.0,4.0,7.0,3.0,1.0,1.0,5.0,4.0,19.0,8.0
0022400010,1610612753,ORL,Orlando,1641710,Anthony Black,Anthony,,,19:40,2.0,6.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,5.0
0022400010,1610612753,ORL,Orlando,1628371,Jonathan Isaac,Jonathan,,,24:54,4.0,6.0,0.667,1.0,3.0,0.333,2.0,4.0,0.5,4.0,5.0,9.0,0.0,1.0,1.0,1.0,3.0,11.0,21.0
0022400010,1610612753,ORL,Orlando,203914,Gary Harris,Gary,,,13:40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0
0022400010,1610612753,ORL,Orlando,1629021,Moritz Wagner,Moritz,,,19:53,5.0,7.0,0.714,1.0,2.0,0.5,3.0,4.0,0.75,1.0,3.0,4.0,2.0,1.0,0.0,1.0,0.0,14.0,16.0
0022400010,1610612753,ORL,Orlando,1630175,Cole Anthony,Cole,,,4:19,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-8.0
0022400010,1610612753,ORL,Orlando,1631216,Caleb Houstan,Caleb,,,1:13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
